ref_number,account_number,statement_date,amount,txn_type,memo,is_bank_originated_fee
TXN0001270,5105827467,2025-03-26,7652.02,Check Deposit,Check Deposit,False
TXN0001394,1869940376,2025-05-21,7245.34,Check Deposit,CHECK DEPOSIT,False
TXN0003133,5001478240,2025-03-07,-32495.49,Debit Card,POS Purchase,False
TXN0000461,8629960597,2025-06-18,-24310.73,ACH Debit,Vendor Payment,False
TXN0005148,7355181674,2025-05-30,-17759.10,Debit Card,POS Purchase,False
TXN0003152,2002054538,2025-05-29,28615.95,Check Deposit,Check Deposit,False
TXN0002673,4421764445,2025-01-17,-2290.00,Internal Transfer,ACCOUNT TRANSFER,False
TXN0005462,1808674868,2025-03-21,-33573.22,Internal Transfer,ACCOUNT TRANSFER,False
TXN0004732,1134979038,2025-01-30,1999.73,Internal Transfer,ACCOUNT TRANSFER,False
TXN0005270,9545452758,2025-01-13,44647.17,Check Deposit,CHECK DEPOSIT,False
TXN0000337,7620013823,2025-05-06,-4747.42,Debit Card,POS PURCHASE,False
TXN0003898,2140824160,2025-06-02,-4298.15,Internal Transfer,Account Transfer,False
TXN0004367,1065436107,2025-04-07,35632.91,Check Deposit,Check Deposit,False
TXN0003676,5997337117,2025-06-27,32779.77,Check Deposit,Check Deposit,False
TXN0003512,2894577142,2025-04-11,7002.37,Check Deposit,CHECK DEPOSIT,False
TXN0005674,1461120602,2025-06-10,-21685.21,ACH Debit,VENDOR PAYMENT,False
TXN0000850,4720375593,2025-03-16,7795.74,ACH Credit,Payroll Deposit,False
TXN0004289,5036320986,2025-03-09,-4270.67,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0000561,6599012983,2025-03-10,-42246.24,ACH Debit,VENDOR PAYMENT,False
TXN0000415,5226942005,2025-04-30,-28129.16,ACH Debit,Vendor Payment,False
TXN0000484,9793877424,2025-04-26,25249.60,ACH Credit,PAYROLL DEPOSIT,False
TXN0000292,2621211490,2025-05-17,-33661.31,Debit Card,POS Purchase,False
TXN0001071,9716469505,2025-02-16,3602.75,Check Deposit,CHECK DEPOSIT,False
TXN0004385,7513127967,2025-03-29,6348.22,Internal Transfer,ACCOUNT TRANSFER,False
TXN0002885,7188317186,2025-04-19,-12547.41,Wire Transfer,OUTGOING WIRE,False
TXN0001667,4868403433,2025-05-13,37061.77,Check Deposit,CHECK DEPOSIT,False
TXN0003760,5316813632,2025-02-24,-24143.54,Debit Card,POS Purchase,False
TXN0003684,8918781048,2025-02-24,7323.81,Check Deposit,CHECK DEPOSIT,False
TXN0002317,9093583309,2025-05-05,22731.90,ACH Credit,PAYROLL DEPOSIT,False
TXN0000434,2246628985,2025-05-06,20564.28,Internal Transfer,Account Transfer,False
TXN0001895,3144550436,2025-02-14,-15146.86,ACH Debit,VENDOR PAYMENT,False
FEE00088,7098078848,2025-02-11,-47.63,Service Charge,Monthly Maintenance Fee,True
TXN0002379,8705923151,2025-01-11,-42233.02,Wire Transfer,Outgoing Wire,False
TXN0004414,8331508430,2025-03-07,-29295.39,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0003997,6797473046,2025-06-17,25123.48,Check Deposit,Check Deposit,False
TXN0001598,9921036738,2025-06-25,6279.96,Internal Transfer,ACCOUNT TRANSFER,False
TXN0004392,8229829887,2025-05-13,22026.87,ACH Credit,Payroll Deposit,False
TXN0002862,1177879552,2025-01-07,-8841.24,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0005075,6200947562,2025-01-13,-22143.13,Debit Card,POS Purchase,False
TXN0000496,4266129965,2025-06-10,-16436.24,Internal Transfer,Account Transfer,False
TXN0002373,2231735539,2025-06-18,-25006.44,Wire Transfer,Incoming Wire,False
TXN0001588,2609519884,2025-06-16,-11620.02,ACH Debit,Vendor Payment,False
TXN0000836,2822178227,2025-05-11,-2339.19,ACH Debit,VENDOR PAYMENT,False
TXN0002252,2712199985,2025-01-22,-25003.72,Debit Card,POS Purchase,False
TXN0002065,3013759416,2025-04-17,24979.11,Internal Transfer,Account Transfer,False
TXN0002842,3019939508,2025-03-05,-3145.14,ACH Debit,Vendor Payment,False
TXN0003364,8840279143,2025-04-18,-37516.48,ACH Debit,VENDOR PAYMENT,False
TXN0002889,5718523535,2025-03-31,33469.80,ACH Credit,PAYROLL DEPOSIT,False
TXN0003198,9459337576,2025-04-27,31570.40,Check Deposit,Check Deposit,False
TXN0002460,3601308292,2025-06-01,-33144.96,Wire Transfer,Incoming Wire,False
TXN0000450,9350616678,2025-01-18,39128.38,Internal Transfer,Account Transfer,False
TXN0003722,3908470872,2025-05-13,-25856.71,Debit Card,POS Purchase,False
TXN0001867,2372252111,2025-06-03,31589.56,Check Deposit,Check Deposit,False
TXN0005697,1271892793,2025-02-06,-39947.89,ACH Debit,VENDOR PAYMENT,False
TXN0002687,9581513318,2025-03-16,-31019.27,Wire Transfer,Outgoing Wire,False
TXN0003659,6760774460,2025-04-28,-21594.33,Internal Transfer,Account Transfer,False
TXN0005991,2857617460,2025-06-29,-8050.03,Wire Transfer,INCOMING WIRE,False
TXN0004218,9445617989,2025-02-25,-11048.74,Debit Card,POS Purchase,False
TXN0001262,4963700248,2025-03-14,-19404.15,Wire Transfer,OUTGOING WIRE,False
TXN0002856,9869848062,2025-05-28,40762.39,Check Deposit,Check Deposit,False
TXN0002900,6000471823,2025-02-09,-18449.20,Debit Card,POS Purchase,False
TXN0000807,3377813283,2025-04-20,26914.11,Debit Card,POS Purchase,False
TXN0001749,1828416882,2025-01-24,-243.76,Wire Transfer,INCOMING WIRE,False
TXN0003904,3678045890,2025-02-23,38478.36,ACH Credit,Payroll Deposit,False
TXN0001962,3326663971,2025-05-06,32836.67,ACH Credit,Payroll Deposit,False
TXN0001537,9451035211,2025-06-27,30157.67,Check Deposit,Check Deposit,False
TXN0003305,5070021557,2025-01-23,4301.07,ACH Credit,Payroll Deposit,False
TXN0003556,6444082894,2025-05-26,23925.43,Internal Transfer,ACCOUNT TRANSFER,False
TXN0002072,2261792617,2025-05-19,17412.30,Check Deposit,Check Deposit,False
TXN0001125,8104007023,2025-03-11,-14632.76,Debit Card,POS Purchase,False
TXN0003615,9656722235,2025-03-01,-3151.58,Wire Transfer,Outgoing Wire,False
TXN0000607,5533944366,2025-01-12,-13375.16,Wire Transfer,Incoming Wire,False
TXN0003444,4282219249,2025-02-22,-1425.25,Wire Transfer,INCOMING WIRE,False
TXN0002319,2998148614,2025-04-17,-1754.59,Debit Card,POS Purchase,False
TXN0002579,1408943672,2025-04-13,-31218.44,ATM Withdrawal,ATM Cash Withdrawal,False
FEE00104,3366303066,2025-04-26,-46.00,Service Charge,Overdraft Fee,True
TXN0004685,7314100692,2025-02-08,-1780.49,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0005577,6119313927,2025-02-13,-17021.88,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0003608,2044262789,2025-05-23,8889.53,Check Deposit,Check Deposit,False
TXN0003220,8162086467,2025-02-19,23142.73,Check Deposit,CHECK DEPOSIT,False
TXN0000960,9175622880,2025-04-25,-7390.27,Wire Transfer,Incoming Wire,False
TXN0005807,8442714855,2025-03-01,-32073.00,ACH Debit,VENDOR PAYMENT,False
TXN0004623,2993893600,2025-02-18,-1075.28,Debit Card,POS Purchase,False
TXN0005956,6847209605,2025-06-16,-10420.77,Wire Transfer,OUTGOING WIRE,False
TXN0000939,6990688595,2025-03-02,-29992.21,ACH Debit,VENDOR PAYMENT,False
TXN0005946,5160282087,2025-03-02,15213.75,Check Deposit,CHECK DEPOSIT,False
TXN0000863,3625722974,2025-06-24,-10567.70,ACH Debit,Vendor Payment,False
TXN0001204,7667277949,2025-04-22,29177.57,ACH Credit,PAYROLL DEPOSIT,False
TXN0002897,1043848729,2025-01-25,-39693.99,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0001229,2096162958,2025-03-17,-14721.87,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0004062,4634707197,2025-03-19,-8886.15,Wire Transfer,OUTGOING WIRE,False
TXN0001151,4261300555,2025-04-26,-15343.67,Wire Transfer,Outgoing Wire,False
TXN0000075,3275869324,2025-03-20,8514.48,Check Deposit,Check Deposit,False
TXN0002971,3224211687,2025-04-22,40308.30,Internal Transfer,Account Transfer,False
TXN0005479,5674711289,2025-01-12,-36207.95,ACH Debit,Vendor Payment,False
TXN0003398,3945089619,2025-06-29,-38795.44,ACH Debit,VENDOR PAYMENT,False
TXN0003727,6874405711,2025-06-03,-41642.08,ACH Debit,VENDOR PAYMENT,False
TXN0004239,1722313254,2025-03-14,-31750.81,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0003223,8205291126,2025-05-28,35914.03,Check Deposit,CHECK DEPOSIT,False
TXN0003948,3310250634,2025-04-14,29273.41,Check Deposit,CHECK DEPOSIT,False
TXN0000712,5405665463,2025-03-08,-26148.09,Internal Transfer,ACCOUNT TRANSFER,False
TXN0005656,8410910396,2025-06-12,-27650.07,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0003017,7143055804,2025-03-17,-44353.07,Debit Card,POS Purchase,False
TXN0000585,1537122842,2025-04-19,33111.32,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0001342,4407469042,2025-01-16,-20951.62,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0004036,7896399985,2025-04-09,-16297.90,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0002038,9122753519,2025-03-05,-31800.42,Wire Transfer,OUTGOING WIRE,False
TXN0005310,6925732660,2025-04-24,40807.09,Wire Transfer,Outgoing Wire,False
TXN0003451,9248043058,2025-01-09,21211.86,Check Deposit,CHECK DEPOSIT,False
TXN0000490,5784272870,2025-04-25,-44045.98,Wire Transfer,OUTGOING WIRE,False
TXN0004620,8027870275,2025-03-18,-21747.55,Wire Transfer,Outgoing Wire,False
TXN0005881,5019746268,2025-03-14,-1081.41,Debit Card,POS Purchase,False
TXN0001687,3710387120,2025-06-17,-3644.28,Debit Card,POS PURCHASE,False
TXN0004835,8172302379,2025-02-13,27063.53,Check Deposit,Check Deposit,False
TXN0001354,5026425333,2025-05-13,-14200.54,Internal Transfer,Account Transfer,False
TXN0002325,7092777852,2025-06-05,-27490.15,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0003154,6795949712,2025-04-23,15446.93,Check Deposit,Check Deposit,False
TXN0000660,8299633890,2025-02-11,32365.72,Check Deposit,CHECK DEPOSIT,False
TXN0001964,4772130097,2025-06-01,37193.59,ACH Credit,Payroll Deposit,False
TXN0002407,1591548130,2025-03-31,36817.17,Check Deposit,CHECK DEPOSIT,False
TXN0000869,6125535591,2025-04-13,-8301.31,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0002635,5969863000,2025-01-17,-19344.16,Wire Transfer,OUTGOING WIRE,False
TXN0002619,1398932538,2025-06-17,42513.52,Check Deposit,Check Deposit,False
TXN0003361,6001982133,2025-02-06,-27172.22,Wire Transfer,Outgoing Wire,False
TXN0000366,3425694474,2025-06-25,18613.43,ACH Credit,Payroll Deposit,False
TXN0004241,7878410459,2025-06-20,-28424.39,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0000639,4311844843,2025-06-12,-29322.90,Wire Transfer,Outgoing Wire,False
TXN0004770,3319222292,2025-01-06,-1225.24,Wire Transfer,Outgoing Wire,False
TXN0002427,2218819507,2025-02-15,-12765.94,Wire Transfer,OUTGOING WIRE,False
TXN0004038,1648105189,2025-05-14,-18425.31,ACH Debit,Vendor Payment,False
TXN0002564,4682544466,2025-06-17,16356.28,Internal Transfer,ACCOUNT TRANSFER,False
TXN0000257,9459715756,2025-04-16,-44075.07,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0002238,5663441812,2025-03-31,10453.67,ACH Credit,PAYROLL DEPOSIT,False
TXN0001357,3950748667,2025-02-11,-8652.72,Debit Card,POS Purchase,False
TXN0001957,3446527345,2025-02-06,-43970.99,ACH Debit,Vendor Payment,False
TXN0001658,4529209912,2025-02-08,-33601.66,ACH Debit,Vendor Payment,False
TXN0002209,9215357790,2025-01-22,-2268.21,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0004780,1644722273,2025-01-09,5253.79,Check Deposit,Check Deposit,False
FEE00113,3475868627,2025-06-30,42.80,Interest Payment,Interest Credit,True
TXN0003793,2719865399,2025-05-18,-36272.18,ACH Debit,VENDOR PAYMENT,False
TXN0002351,6406004184,2025-04-14,-29164.79,Debit Card,POS Purchase,False
TXN0001780,1871404519,2025-06-23,-35283.74,Internal Transfer,ACCOUNT TRANSFER,False
TXN0001251,7591750877,2025-04-29,41159.02,Check Deposit,Check Deposit,False
TXN0005483,3932437105,2025-04-09,-42853.24,ACH Debit,Vendor Payment,False
TXN0004433,7512428359,2025-01-16,-12946.36,Debit Card,POS Purchase,False
TXN0002925,6096502919,2025-05-14,10913.53,ACH Credit,PAYROLL DEPOSIT,False
TXN0002919,4469116696,2025-03-22,-12833.05,Internal Transfer,Account Transfer,False
TXN0002753,5132433739,2025-06-13,37905.57,Internal Transfer,Account Transfer,False
TXN0005692,6546692136,2025-02-03,-17064.63,Debit Card,POS Purchase,False
TXN0001684,4293919409,2025-06-08,-30680.10,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0002257,6523689201,2025-06-10,-15388.79,Wire Transfer,Outgoing Wire,False
TXN0004893,6903208751,2025-06-19,-43524.22,ACH Debit,VENDOR PAYMENT,False
TXN0000477,6272164654,2025-06-24,-834.07,Debit Card,POS PURCHASE,False
TXN0001037,2406014957,2025-04-14,-32485.29,Wire Transfer,Incoming Wire,False
TXN0005364,1248395930,2025-06-06,-26587.24,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0003792,8953843360,2025-05-30,-26643.48,Wire Transfer,INCOMING WIRE,False
TXN0001991,1912312353,2025-05-25,-2162.92,ACH Debit,Vendor Payment,False
TXN0000021,7035241032,2025-03-02,-37339.34,Wire Transfer,Incoming Wire,False
TXN0005143,9791878926,2025-05-08,-42264.55,Wire Transfer,Outgoing Wire,False
TXN0001260,8414068600,2025-01-31,-36759.59,ACH Debit,Vendor Payment,False
TXN0004695,6492774444,2025-05-19,-34559.81,Wire Transfer,Incoming Wire,False
TXN0002904,8301331812,2025-06-25,-7577.17,Wire Transfer,Incoming Wire,False
TXN0001719,4649028280,2025-01-24,-29863.87,Wire Transfer,Outgoing Wire,False
TXN0005708,4165280287,2025-02-18,-42725.18,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0003381,7752456986,2025-04-29,17571.10,Internal Transfer,ACCOUNT TRANSFER,False
TXN0002256,5997222105,2025-03-13,-9336.51,ACH Debit,VENDOR PAYMENT,False
TXN0004281,8438919610,2025-03-09,-23602.25,ACH Debit,Vendor Payment,False
TXN0000753,9089304785,2025-01-10,-39909.63,ACH Debit,Vendor Payment,False
TXN0005995,3283182364,2025-01-31,32111.44,Check Deposit,Check Deposit,False
TXN0004752,8573319933,2025-06-03,-4591.93,Internal Transfer,Account Transfer,False
TXN0001056,7781714683,2025-06-12,29620.03,ACH Credit,PAYROLL DEPOSIT,False
TXN0005749,7957329925,2025-03-08,-30683.23,Internal Transfer,Account Transfer,False
TXN0004751,4500980561,2025-06-29,-30402.23,ACH Debit,Vendor Payment,False
TXN0003740,2339691845,2025-04-06,-1722.95,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0003217,3152372105,2025-05-20,-24329.64,Wire Transfer,INCOMING WIRE,False
TXN0003583,6991161171,2025-02-18,44431.63,ACH Credit,PAYROLL DEPOSIT,False
TXN0003226,1589194705,2025-05-01,-12813.61,Wire Transfer,Outgoing Wire,False
TXN0002573,5651365254,2025-05-27,-29198.55,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0002695,7369368469,2025-02-28,-16551.59,Debit Card,POS Purchase,False
TXN0002568,6914314991,2025-04-30,-38618.33,Wire Transfer,OUTGOING WIRE,False
TXN0004859,2597773594,2025-01-21,-28735.29,Internal Transfer,Account Transfer,False
TXN0004361,2945274692,2025-01-29,40709.96,Check Deposit,Check Deposit,False
TXN0001873,2965265251,2025-04-11,1872.82,Check Deposit,Check Deposit,False
TXN0000408,5852999316,2025-05-26,-20061.13,Debit Card,POS PURCHASE,False
TXN0005490,4011083696,2025-03-20,7515.59,Check Deposit,Check Deposit,False
TXN0003549,7209426895,2025-01-26,21856.06,ACH Credit,PAYROLL DEPOSIT,False
TXN0005669,9473002488,2025-04-30,-25098.94,Internal Transfer,Account Transfer,False
TXN0000931,1863844914,2025-01-06,-30233.35,ACH Debit,Vendor Payment,False
TXN0001741,2750621148,2025-03-04,-27454.89,Debit Card,POS Purchase,False
TXN0001893,9997363328,2025-03-26,-32384.76,Internal Transfer,Account Transfer,False
TXN0002059,6704204095,2025-03-15,-41747.34,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0002002,8977927109,2025-02-11,19589.62,Internal Transfer,ACCOUNT TRANSFER,False
TXN0002625,5711677081,2025-03-10,30558.66,Check Deposit,CHECK DEPOSIT,False
TXN0003349,1465270500,2025-03-07,-39813.42,Wire Transfer,Outgoing Wire,False
TXN0004947,3674370502,2025-06-12,3452.67,Check Deposit,CHECK DEPOSIT,False
TXN0004097,6166668291,2025-03-14,-11789.44,Wire Transfer,Incoming Wire,False
TXN0001707,4729566098,2025-03-17,39381.77,Check Deposit,Check Deposit,False
TXN0002951,6498611637,2025-05-23,-9471.16,Debit Card,POS Purchase,False
TXN0000224,5390374998,2025-01-11,1457.69,Check Deposit,Check Deposit,False
TXN0000158,5535692734,2025-03-31,-23240.68,Wire Transfer,Outgoing Wire,False
TXN0003831,9115651798,2025-06-24,22652.36,Internal Transfer,Account Transfer,False
TXN0001677,4145112261,2025-03-02,-1057.34,Wire Transfer,OUTGOING WIRE,False
TXN0001403,3162205033,2025-06-23,-13888.09,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0002270,4476408717,2025-03-16,-31388.35,ACH Debit,VENDOR PAYMENT,False
TXN0001118,5047255669,2025-03-06,-36916.48,Debit Card,POS PURCHASE,False
TXN0004181,9539014598,2025-04-13,37567.69,Check Deposit,CHECK DEPOSIT,False
TXN0001517,1286803819,2025-02-19,26466.59,Check Deposit,Check Deposit,False
TXN0000689,3863622696,2025-01-22,7981.14,ACH Credit,PAYROLL DEPOSIT,False
TXN0002011,6799344306,2025-05-25,28122.80,Check Deposit,CHECK DEPOSIT,False
TXN0001860,1214367887,2025-05-28,35021.96,Check Deposit,Check Deposit,False
TXN0005849,4411754150,2025-04-21,-20252.20,Debit Card,POS Purchase,False
TXN0001444,1366442526,2025-05-24,-8053.62,Wire Transfer,Incoming Wire,False
TXN0000855,7747914756,2025-03-16,-8577.32,ACH Debit,Vendor Payment,False
TXN0003585,9914929260,2025-02-12,35684.19,Internal Transfer,Account Transfer,False
TXN0005080,1023883218,2025-05-29,-30824.02,Wire Transfer,Incoming Wire,False
TXN0000905,2541015399,2025-01-10,2024.91,ACH Credit,Payroll Deposit,False
TXN0001439,5036041500,2025-05-28,-22110.24,Wire Transfer,Incoming Wire,False
TXN0004973,1535387055,2025-06-28,9092.04,ACH Credit,PAYROLL DEPOSIT,False
TXN0005172,4018995294,2025-06-10,15067.45,ACH Credit,Payroll Deposit,False
TXN0003788,2391580815,2025-05-18,-6311.03,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0001733,3532981418,2025-01-12,26842.72,ACH Credit,Payroll Deposit,False
TXN0004494,9441735035,2025-02-19,-14384.49,Debit Card,POS Purchase,False
TXN0002042,6417208248,2025-02-02,34089.34,ACH Credit,PAYROLL DEPOSIT,False
TXN0004376,3605953817,2025-06-19,-12103.48,Wire Transfer,Incoming Wire,False
TXN0004115,5135313418,2025-06-23,7650.13,ACH Credit,Payroll Deposit,False
TXN0002574,1726246020,2025-06-03,-16026.32,Wire Transfer,Incoming Wire,False
TXN0001131,4663377774,2025-06-13,36544.71,ACH Credit,Payroll Deposit,False
TXN0004462,1308801419,2025-04-11,40717.96,ACH Credit,Payroll Deposit,False
TXN0001903,1205002651,2025-03-13,-32338.49,ATM Withdrawal,ATM Cash Withdrawal,False
TXN0004337,8170970552,2025-06-10,-26976.36,ACH Debit,Vendor Payment,False
TXN0003307,2416855960,2025-05-26,-29664.16,Wire Transfer,INCOMING WIRE,False
FEE00027,8169316490,2025-03-07,-19.90,Service Charge,Monthly Maintenance Fee,True
TXN0003766,2536284807,2025-06-23,-6702.58,Wire Transfer,Outgoing Wire,False
TXN0002453,6239653821,2025-05-14,3443.96,Check Deposit,Check Deposit,False
TXN0001219,1004413702,2025-03-22,-31891.08,Debit Card,POS Purchase,False
TXN0000929,3693436596,2025-01-01,-9525.03,ACH Debit,Vendor Payment,False
TXN0002740,4596099484,2025-04-25,19457.44,ATM Withdrawal,ATM CASH WITHDRAWAL,False
TXN0002479,4049044358,2025-06-05,38976.03,Check Deposit,Check Deposit,False
TXN0003806,9053812908,2025-05-29,-23719.20,Debit Card,POS Purchase,False
