txn_ref,account_number,post_date,amount,direction,description,branch_code
TXN0002170,8072004914,2025-02-09,13898.89,Credit,Check Deposit,0678
TXN0000035,8225780556,2025-03-29,-22768.00,Debit,POS Purchase,0678
TXN0003949,7926443380,2025-02-25,-35732.91,Debit,Incoming Wire,0501
TXN0004475,8811168710,2025-01-14,-40110.70,Debit,Vendor Payment,0245
TXN0000847,1114893435,2025-02-09,-33742.75,Debit,Incoming Wire,0389
TXN0000810,9230831102,2025-06-04,-19726.79,Debit,Vendor Payment,0112
TXN0001243,4559763176,2025-06-15,40416.74,Credit,Account Transfer,0112
TXN0000374,6665688762,2025-02-05,15861.64,Credit,Payroll Deposit,0245
TXN0000835,8743990143,2025-03-24,13411.45,Credit,Check Deposit,0112
TXN0003532,7891287473,2025-04-10,-36477.24,Debit,Account Transfer,0389
TXN0003151,3015836427,2025-01-30,-40651.82,Debit,Vendor Payment,0245
TXN0001693,4020416934,2025-06-24,-9949.67,Debit,ATM Cash Withdrawal,0245
TXN0000808,2991982566,2025-01-06,-28945.87,Debit,Outgoing Wire,0245
TXN0005636,1572377729,2025-06-17,1786.58,Credit,Account Transfer,0389
TXN0003786,3905347162,2025-05-11,-34552.82,Debit,Vendor Payment,0678
TXN0005914,9796947823,2025-01-17,26478.18,Credit,Check Deposit,0112
TXN0002659,6434711681,2025-06-10,-4185.29,Debit,ATM Cash Withdrawal,0245
TXN0004468,6535788912,2025-02-10,-12977.80,Debit,ATM Cash Withdrawal,0501
TXN0001641,8036289141,2025-04-17,20778.10,Credit,Check Deposit,0501
TXN0001391,1256534145,2025-01-22,-19837.78,Debit,ATM Cash Withdrawal,0501
TXN0000247,8423929954,2025-01-14,-26203.05,Debit,ATM Cash Withdrawal,0678
TXN0003106,4228562822,2025-04-20,9130.21,Credit,Payroll Deposit,0112
TXN0005160,3840252451,2025-01-17,-34515.81,Debit,ATM Cash Withdrawal,0245
TXN0003738,7719764363,2025-05-03,-22354.36,Debit,Outgoing Wire,0501
TXN0003265,5503368137,2025-04-10,-21273.45,Debit,POS Purchase,0389
TXN0004486,5422844462,2025-05-16,-40919.37,Debit,POS Purchase,0501
TXN0003823,7214251682,2025-01-08,31558.62,Credit,Vendor Payment,0678
TXN0002147,3229730546,2025-06-29,43266.63,Credit,Check Deposit,0501
TXN0001499,2705209487,2025-02-27,-39876.32,Debit,Vendor Payment,0389
TXN0000026,1150771832,2025-05-01,-41222.42,Debit,POS Purchase,0245
TXN0001050,5521559141,2025-02-13,27790.39,Credit,Payroll Deposit,0389
TXN0003913,6223571177,2025-04-13,-44289.05,Debit,Outgoing Wire,0678
TXN0001989,6961181501,2025-02-18,-35867.20,Debit,Outgoing Wire,0245
TXN0000514,8699386294,2025-02-23,-9491.22,Debit,ATM Cash Withdrawal,0501
TXN0003023,5155663724,2025-01-07,-25839.48,Debit,Outgoing Wire,0389
TXN0005793,8266546548,2025-05-30,-26403.44,Debit,Vendor Payment,0501
TXN0005655,5051156901,2025-06-27,-2209.88,Debit,Outgoing Wire,0112
TXN0000935,9838568029,2025-04-17,-17595.18,Debit,Outgoing Wire,0112
TXN0001650,2169570561,2025-01-30,11890.52,Credit,Check Deposit,0678
TXN0005902,1181565060,2025-03-10,-44264.23,Debit,Vendor Payment,0389
TXN0005174,5145411016,2025-04-10,-38446.89,Debit,ATM Cash Withdrawal,0501
TXN0001752,9577260157,2025-01-03,-36771.66,Debit,ATM Cash Withdrawal,0678
TXN0003364,8840279143,2025-04-18,-37516.48,Debit,Vendor Payment,0112
TXN0000511,8907134759,2025-05-14,23403.27,Credit,Check Deposit,0678
TXN0002750,2299595513,2025-03-25,-5132.35,Debit,Incoming Wire,0245
TXN0003556,6444082894,2025-05-26,23925.43,Credit,Account Transfer,0501
TXN0004964,1150786761,2025-01-13,14813.57,Credit,Payroll Deposit,0112
TXN0005421,4424925062,2025-01-19,-6304.22,Debit,Outgoing Wire,0112
TXN0004166,8109485376,2025-01-29,-24763.84,Debit,Incoming Wire,0389
TXN0004373,6298176712,2025-01-07,-14812.76,Debit,ATM Cash Withdrawal,0678
TXN0005899,1576367462,2025-03-25,-44761.45,Debit,Incoming Wire,0678
TXN0002985,1376439394,2025-01-02,34864.24,Credit,Check Deposit,0389
TXN0000799,5765424629,2025-06-12,-32952.14,Debit,Incoming Wire,0112
TXN0003011,4551063203,2025-03-02,-4315.48,Debit,Incoming Wire,0389
TXN0003766,2536284807,2025-06-23,-6702.58,Debit,Outgoing Wire,0245
TXN0005098,3283199517,2025-06-23,3877.66,Credit,Payroll Deposit,0501
TXN0004321,3343392084,2025-04-18,-35143.44,Debit,Incoming Wire,0678
TXN0005979,5489588305,2025-04-18,-23078.68,Debit,ATM Cash Withdrawal,0501
TXN0004669,4171145325,2025-06-18,-31999.82,Debit,Vendor Payment,0678
TXN0000530,3328144611,2025-05-01,9142.98,Credit,Account Transfer,0501
TXN0005803,5036773877,2025-04-01,-31634.28,Debit,ATM Cash Withdrawal,0112
TXN0000744,2486904069,2025-04-14,13515.60,Credit,Payroll Deposit,0245
TXN0005294,9426756825,2025-02-28,-30943.54,Debit,Vendor Payment,0245
TXN0000548,3391644997,2025-04-09,7553.44,Credit,Check Deposit,0678
TXN0004393,5441741247,2025-03-07,28539.41,Credit,Check Deposit,0112
TXN0001805,8907414814,2025-03-26,42840.15,Credit,Check Deposit,0389
TXN0003928,2212841585,2025-01-24,-18785.03,Debit,Vendor Payment,0389
TXN0001885,4560473945,2025-06-26,-18090.31,Debit,Outgoing Wire,0678
TXN0003155,3287588894,2025-01-16,-34080.66,Debit,Incoming Wire,0389
TXN0003334,2322776222,2025-03-21,-30532.42,Debit,POS Purchase,0501
TXN0005653,6659010132,2025-06-02,31955.36,Credit,Check Deposit,0245
TXN0001901,3244290825,2025-05-17,-16087.55,Debit,Vendor Payment,0245
TXN0004008,8891758128,2025-05-23,-32807.11,Debit,Outgoing Wire,0678
TXN0000173,5603304320,2025-01-31,42007.61,Credit,Payroll Deposit,0245
TXN0005466,6486647323,2025-02-04,17945.69,Credit,POS Purchase,0501
TXN0003379,7556738517,2025-02-28,34084.12,Credit,Payroll Deposit,0389
TXN0004743,6565874946,2025-05-13,21878.21,Credit,Payroll Deposit,0389
TXN0004055,6687087101,2025-06-08,-34294.11,Debit,Incoming Wire,0501
TXN0000809,6148267747,2025-03-16,-40317.49,Debit,Account Transfer,0245
TXN0005552,5369526523,2025-03-26,17369.02,Credit,Check Deposit,0389
TXN0004822,4914517114,2025-05-22,43612.37,Credit,Account Transfer,0501
TXN0004859,2597773594,2025-01-21,-28735.29,Debit,Account Transfer,0501
TXN0002883,7491772739,2025-02-22,-21812.81,Debit,POS Purchase,0245
TXN0002934,1155072459,2025-04-19,25006.92,Credit,Check Deposit,0678
TXN0005318,2125961997,2025-01-27,-30533.44,Debit,Outgoing Wire,0501
TXN0005924,9495898209,2025-02-23,-19134.87,Debit,POS Purchase,0112
TXN0005030,4130655321,2025-02-22,-39568.99,Debit,Outgoing Wire,0112
TXN0003199,9086343831,2025-02-11,-31610.66,Debit,Incoming Wire,0678
TXN0002279,4279245848,2025-04-03,-26541.01,Debit,ATM Cash Withdrawal,0501
TXN0005809,7233271247,2025-03-30,-21833.19,Debit,Vendor Payment,0389
TXN0004185,5340457015,2025-01-14,-147.50,Debit,POS Purchase,0245
TXN0002051,8860647395,2025-06-09,-11284.48,Debit,Vendor Payment,0678
TXN0005678,1239668107,2025-02-17,10973.65,Credit,Account Transfer,0501
TXN0004282,1055116543,2025-04-09,-5344.19,Debit,Vendor Payment,0678
TXN0005077,8158277576,2025-04-19,44193.39,Credit,Payroll Deposit,0678
TXN0005134,3164579163,2025-04-22,671.70,Credit,Payroll Deposit,0245
TXN0002364,4759876088,2025-05-15,-36634.52,Debit,POS Purchase,0245
TXN0001421,2863026122,2025-05-28,-10023.67,Debit,Vendor Payment,0112
TXN0002563,7389612244,2025-03-22,-1483.90,Debit,ATM Cash Withdrawal,0245
TXN0000211,7127363129,2025-04-12,-9960.14,Debit,Vendor Payment,0389
TXN0004018,6045626034,2025-06-02,7201.78,Credit,Account Transfer,0112
TXN0002872,9207899416,2025-04-08,-35591.07,Debit,Vendor Payment,0678
TXN0005245,5669987241,2025-04-22,-35020.83,Debit,POS Purchase,0112
TXN0000600,5712175513,2025-05-21,-16360.18,Debit,Vendor Payment,0678
TXN0001174,3434517632,2025-02-27,6581.73,Credit,Payroll Deposit,0678
TXN0001416,6818594943,2025-04-19,-34725.70,Debit,Vendor Payment,0678
TXN0002898,1973046709,2025-03-19,-32943.93,Debit,ATM Cash Withdrawal,0245
TXN0003825,7629191535,2025-02-22,-43377.25,Debit,Incoming Wire,0678
TXN0005135,2386932507,2025-03-02,-10336.81,Debit,Account Transfer,0678
TXN0000559,9850953561,2025-02-17,40339.63,Credit,Account Transfer,0501
TXN0005419,1790800318,2025-02-12,-23760.06,Debit,Outgoing Wire,0112
TXN0005014,4110566731,2025-02-17,38975.28,Credit,Outgoing Wire,0112
TXN0003037,8368178024,2025-03-06,-38155.60,Debit,ATM Cash Withdrawal,0389
TXN0000396,2567139924,2025-02-24,-10310.37,Debit,Outgoing Wire,0112
TXN0004613,7963306149,2025-06-11,35298.64,Credit,Payroll Deposit,0389
TXN0000472,7452031946,2025-04-08,-29390.11,Debit,ATM Cash Withdrawal,0245
TXN0004038,1648105189,2025-05-14,-18425.31,Debit,Vendor Payment,0389
TXN0000804,1105498714,2025-01-25,-28913.54,Debit,Incoming Wire,0389
TXN0002442,7480779386,2025-01-05,15438.96,Credit,Check Deposit,0389
TXN0004322,7498964867,2025-06-05,-20234.67,Debit,ATM Cash Withdrawal,0112
TXN0003373,3357523253,2025-04-06,-38841.27,Debit,Incoming Wire,0501
TXN0003514,8186315066,2025-06-22,5078.63,Credit,Payroll Deposit,0245
TXN0000148,6992079729,2025-01-15,-31554.50,Debit,Incoming Wire,0112
TXN0002845,3845597648,2025-02-17,-37456.20,Debit,Account Transfer,0112
TXN0001965,2835046850,2025-06-18,-28821.14,Debit,Account Transfer,0678
TXN0005108,3370578863,2025-02-01,27994.66,Credit,Payroll Deposit,0501
TXN0000403,5778380212,2025-03-05,9942.09,Credit,Account Transfer,0112
TXN0000132,1879121024,2025-01-28,-33942.16,Debit,Outgoing Wire,0678
TXN0002927,1536846334,2025-02-11,-29834.13,Debit,Vendor Payment,0389
TXN0001410,4218592208,2025-06-20,-17134.09,Debit,POS Purchase,0501
TXN0004063,9842210218,2025-01-23,-40303.39,Debit,ATM Cash Withdrawal,0678
TXN0002711,6332902915,2025-03-30,-28367.45,Debit,Incoming Wire,0501
TXN0003342,7413892352,2025-04-09,-11567.93,Debit,Incoming Wire,0245
TXN0002964,3702394338,2025-05-30,-20699.86,Debit,Outgoing Wire,0501
TXN0001436,1951438444,2025-04-03,8493.11,Credit,Check Deposit,0389
TXN0005386,7254341807,2025-03-13,6494.95,Credit,Check Deposit,0389
TXN0002169,4739128119,2025-05-15,-2378.83,Debit,Vendor Payment,0112
TXN0004607,4883339774,2025-05-04,-26430.98,Debit,Outgoing Wire,0678
TXN0004742,1154978177,2025-01-17,-38092.93,Debit,ATM Cash Withdrawal,0112
TXN0001777,2981029371,2025-04-08,-29006.09,Debit,ATM Cash Withdrawal,0501
TXN0005084,5576080307,2025-01-07,15703.60,Credit,Vendor Payment,0678
TXN0000932,1961932569,2025-03-11,-39387.60,Debit,POS Purchase,0501
TXN0001434,3007691916,2025-04-09,12725.09,Credit,Payroll Deposit,0389
TXN0004339,9075771511,2025-02-03,30419.10,Credit,Check Deposit,0112
TXN0004589,9704522693,2025-03-04,-31465.50,Debit,POS Purchase,0245
TXN0002814,9720484415,2025-06-07,-32550.53,Debit,Incoming Wire,0245
TXN0003965,1178808641,2025-06-29,-18338.10,Debit,ATM Cash Withdrawal,0389
TXN0000555,5170829519,2025-01-03,-8876.51,Debit,Account Transfer,0245
TXN0004518,5815784661,2025-05-03,-38812.95,Debit,Outgoing Wire,0112
TXN0005548,8223338838,2025-03-25,-38789.43,Debit,Vendor Payment,0501
TXN0005397,9240612270,2025-01-27,-30246.66,Debit,ATM Cash Withdrawal,0389
TXN0002608,3189618947,2025-02-13,38888.09,Credit,Check Deposit,0501
TXN0001945,1407409716,2025-05-28,-11184.99,Debit,Account Transfer,0112
TXN0003818,9123996524,2025-05-17,-1084.96,Debit,ATM Cash Withdrawal,0678
