txn_ref,account_number,ledger_amount,bank_amount,ledger_date,bank_date,category,note
TXN0004924,3439853040,-9969.57,-9969.57,2025-06-25,2025-06-25,Reconciled,
TXN0002307,1540656574,-18943.17,-18943.17,2025-03-22,2025-03-22,Reconciled,
TXN0000339,8587548482,-910.77,-910.77,2025-05-10,2025-05-10,Reconciled,
TXN0002642,1413881887,11494.56,11494.56,2025-06-16,2025-06-16,Reconciled,
TXN0005427,8048298784,-12803.57,-12803.57,2025-01-27,2025-01-27,Reconciled,
TXN0003185,7180428369,35390.88,35390.88,2025-01-20,2025-01-20,Reconciled,
TXN0002885,7188317186,-12547.41,-12547.41,2025-04-19,2025-04-19,Reconciled,
TXN0003618,7056654032,-30967.39,-30967.39,2025-06-20,2025-06-20,Reconciled,
TXN0000451,2774830523,-20109.81,-20109.81,2025-01-04,2025-01-04,Reconciled,
TXN0000879,3785875720,-19565.77,-19565.77,2025-01-05,2025-01-08,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0005377,9301862598,31265.56,31265.56,2025-01-26,2025-01-26,Reconciled,
TXN0002167,2273506327,20870.20,20870.20,2025-03-02,2025-03-02,Reconciled,
TXN0004431,7283061438,-19384.21,-19384.21,2025-03-03,2025-03-03,Reconciled,
TXN0002798,1648060591,29175.15,29175.15,2025-05-26,2025-05-26,Reconciled,
TXN0003699,9175969950,-6257.02,-6257.02,2025-05-04,2025-05-04,Reconciled,
TXN0004384,3350347340,-9921.95,-9921.95,2025-05-31,2025-05-31,Reconciled,
TXN0000406,9599191007,-21579.72,-21579.72,2025-01-16,2025-01-16,Reconciled,
TXN0005868,7559707238,-11122.23,-11122.23,2025-05-06,2025-05-06,Reconciled,
TXN0002337,3523247355,-4904.54,-4904.54,2025-02-01,2025-02-01,Reconciled,
TXN0004846,7946546169,-5218.68,-5218.68,2025-01-18,2025-01-18,Reconciled,
TXN0002289,8831096060,33014.43,33014.43,2025-03-12,2025-03-12,Reconciled,
TXN0002851,8875073269,-11522.17,-11522.17,2025-03-19,2025-03-19,Reconciled,
TXN0000439,5620035584,-24942.48,-24942.48,2025-05-20,2025-05-20,Reconciled,
TXN0005190,8251980460,-15976.25,-15976.25,2025-05-26,2025-05-26,Reconciled,
TXN0001387,3047644165,4091.95,4091.95,2025-02-09,2025-02-09,Reconciled,
TXN0004822,4914517114,43612.37,43612.37,2025-05-22,2025-05-22,Reconciled,
TXN0003277,3213277314,6516.40,6516.40,2025-03-21,2025-03-21,Reconciled,
TXN0001353,4195160340,437.60,437.60,2025-05-01,2025-05-01,Reconciled,
TXN0001278,1286813457,-35298.12,-35298.12,2025-02-19,2025-02-19,Reconciled,
TXN0002146,8652406636,-20702.10,-20702.10,2025-02-18,2025-02-18,Reconciled,
TXN0001298,4274225629,6340.13,6340.13,2025-05-25,2025-05-27,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0005358,4363969488,-18888.03,-18888.03,2025-03-21,2025-03-22,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0005460,7848958178,-146.81,-146.81,2025-03-10,2025-03-10,Reconciled,
TXN0003823,7214251682,31558.62,31558.62,2025-01-08,2025-01-08,Reconciled,
TXN0004760,6652648123,-8516.98,-8516.98,2025-03-20,2025-03-20,Reconciled,
TXN0001734,6032254145,-30000.69,-30000.69,2025-02-08,2025-02-08,Reconciled,
TXN0003588,5073216984,-35829.68,-35829.68,2025-01-08,2025-01-08,Reconciled,
TXN0002595,5930565713,-22698.05,-22698.05,2025-02-02,2025-02-02,Reconciled,
TXN0002649,1312400081,-30231.95,-30231.95,2025-02-06,2025-02-06,Reconciled,
TXN0004133,6763529857,-13355.69,-13355.69,2025-02-13,2025-02-13,Reconciled,
TXN0005451,4132258934,-33537.63,-33537.63,2025-06-30,2025-06-30,Reconciled,
TXN0001560,3107220349,36772.38,36772.38,2025-05-24,2025-05-24,Reconciled,
TXN0005945,1675160099,12619.26,12619.26,2025-06-04,2025-06-04,Reconciled,
TXN0004208,8370600462,-7870.64,-7870.64,2025-03-20,2025-03-20,Reconciled,
TXN0003759,3419664521,-28713.02,-28713.02,2025-02-11,2025-02-11,Reconciled,
TXN0002639,9515806205,-14771.43,-14771.43,2025-05-05,2025-05-05,Reconciled,
TXN0005764,9302338555,-37955.18,-37955.18,2025-05-18,2025-05-18,Reconciled,
TXN0005613,1294862985,-4044.73,-4044.73,2025-06-25,2025-06-25,Reconciled,
TXN0005467,7601939349,18927.80,18927.80,2025-04-18,2025-04-18,Reconciled,
TXN0004030,8386475725,14029.23,14029.23,2025-01-24,2025-01-24,Reconciled,
TXN0002466,4565089875,40421.21,40421.21,2025-06-08,2025-06-08,Reconciled,
TXN0000452,5734051500,-12521.54,-12521.54,2025-02-20,2025-02-20,Reconciled,
TXN0004515,8399040854,41737.60,41737.60,2025-05-05,2025-05-08,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0000141,9357710042,-8150.79,-8150.79,2025-02-02,2025-02-02,Reconciled,
TXN0003566,3360818602,11240.23,11240.23,2025-04-05,2025-04-05,Reconciled,
TXN0005700,9006219198,-18030.72,-18030.72,2025-01-24,2025-01-24,Reconciled,
TXN0005109,2698841183,-24129.86,-24129.86,2025-01-20,2025-01-20,Reconciled,
TXN0004022,4093144851,-13016.19,-13016.19,2025-01-01,2025-01-01,Reconciled,
TXN0004919,3800932720,-37569.85,-37569.85,2025-02-26,2025-02-26,Reconciled,
TXN0003302,9476483331,4511.37,4511.37,2025-03-08,2025-03-08,Reconciled,
TXN0001772,2611167089,9113.03,9113.03,2025-03-21,2025-03-23,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0001974,5851441102,-31046.30,-31046.30,2025-06-29,2025-06-29,Reconciled,
TXN0002544,4700739247,-33156.07,-33156.07,2025-02-04,2025-02-04,Reconciled,
TXN0003697,2689187012,-44271.73,,2025-06-13,,Ledger-Only (Investigate),No matching bank record found for this ledger entry.
TXN0005936,7318503723,-1734.99,-1734.99,2025-05-14,2025-05-14,Reconciled,
TXN0002867,1840032439,8272.95,8272.95,2025-01-02,2025-01-03,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0005375,1255027829,-28670.76,-28670.76,2025-04-20,2025-04-20,Reconciled,
TXN0004137,9134463463,-29699.96,-29699.96,2025-04-07,2025-04-07,Reconciled,
TXN0000215,3971796731,-17123.29,-17123.29,2025-03-12,2025-03-12,Reconciled,
TXN0005413,8137088568,-2422.10,-2422.10,2025-01-11,2025-01-11,Reconciled,
TXN0004974,2036862966,-18428.77,-18428.77,2025-02-11,2025-02-11,Reconciled,
TXN0005973,2355432224,36209.40,36209.40,2025-05-25,2025-05-25,Reconciled,
TXN0001857,1247593284,-21334.60,-21334.60,2025-02-22,2025-02-22,Reconciled,
TXN0001498,5235288495,4566.91,4566.91,2025-01-17,2025-01-20,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0000697,8718433845,-23835.53,-23835.53,2025-04-09,2025-04-09,Reconciled,
TXN0000295,1563945320,22303.54,22303.54,2025-04-25,2025-04-25,Reconciled,
TXN0002234,8081860979,-25334.56,-25334.56,2025-03-08,2025-03-10,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0002979,6928389910,-17248.77,-17248.77,2025-01-29,2025-01-29,Reconciled,
TXN0004710,5179139387,-4236.64,-4236.64,2025-03-14,2025-03-14,Reconciled,
TXN0004241,7878410459,-28424.39,-28424.39,2025-06-20,2025-06-20,Reconciled,
TXN0000817,4669429746,-27553.72,-27553.72,2025-01-15,2025-01-15,Reconciled,
TXN0004557,1869489555,-11986.26,-11986.26,2025-05-02,2025-05-02,Reconciled,
TXN0005420,3982756765,28368.66,28368.66,2025-04-08,2025-04-08,Reconciled,
TXN0005871,6225026093,-27243.16,-27243.16,2025-01-28,2025-01-28,Reconciled,
TXN0004714,3720287567,-32927.25,-32927.25,2025-06-27,2025-06-27,Reconciled,
TXN0000602,2948287932,39420.03,39420.03,2025-04-13,2025-04-13,Reconciled,
TXN0003322,4532483206,-32719.34,-32719.34,2025-06-22,2025-06-22,Reconciled,
TXN0005693,7969268204,-19233.70,-19233.70,2025-03-03,2025-03-04,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0001240,2786485108,-24334.38,-24334.38,2025-04-11,2025-04-11,Reconciled,
TXN0002934,1155072459,25006.92,25006.92,2025-04-19,2025-04-19,Reconciled,
TXN0000736,1375889495,-10091.78,-10091.78,2025-01-12,2025-01-14,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0004689,1180299355,14945.69,14945.69,2025-01-09,2025-01-09,Reconciled,
TXN0002427,2218819507,-12765.94,-12765.94,2025-02-15,2025-02-15,Reconciled,
TXN0001380,1494481952,18448.09,18448.09,2025-06-12,2025-06-12,Reconciled,
TXN0003875,3092224319,11567.64,11567.64,2025-03-28,2025-03-28,Reconciled,
TXN0001951,6901538761,-809.65,-809.65,2025-03-21,2025-03-21,Reconciled,
TXN0001162,3872963787,-5442.28,-5442.28,2025-04-23,2025-04-23,Reconciled,
TXN0000726,4528031502,-3280.34,-3280.34,2025-05-31,2025-05-31,Reconciled,
TXN0005161,3734510891,-8242.16,-8242.16,2025-05-16,2025-05-16,Reconciled,
TXN0004633,1343199049,13833.26,13833.26,2025-05-18,2025-05-18,Reconciled,
TXN0000563,2077674123,728.88,728.88,2025-01-30,2025-01-30,Reconciled,
TXN0002462,8621478088,34174.41,34174.41,2025-04-04,2025-04-07,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0004316,4601165095,-36746.91,-36746.91,2025-05-19,2025-05-19,Reconciled,
TXN0004649,3260945112,-28353.43,-28353.43,2025-06-26,2025-06-28,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0003632,4966723835,-2792.65,-2792.65,2025-03-06,2025-03-06,Reconciled,
TXN0002404,7193604606,-21989.46,,2025-04-05,,Ledger-Only (Investigate),No matching bank record found for this ledger entry.
TXN0000050,5335665480,1235.00,1235.00,2025-01-10,2025-01-10,Reconciled,
TXN0001400,9058110635,-12505.97,-12505.97,2025-04-22,2025-04-22,Reconciled,
TXN0002009,1105702808,-3154.35,-3154.35,2025-01-13,2025-01-13,Reconciled,
TXN0001622,4360165104,15058.04,15058.04,2025-02-05,2025-02-07,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0000489,8769036542,-25307.39,-25307.39,2025-06-25,2025-06-25,Reconciled,
TXN0000271,1358297428,-21166.74,-21166.74,2025-01-24,2025-01-24,Reconciled,
TXN0000253,6722240668,-37287.15,-37287.15,2025-06-04,2025-06-04,Reconciled,
TXN0004336,7760295967,-34740.64,-34740.64,2025-04-13,2025-04-13,Reconciled,
TXN0004043,4798116452,-19753.75,-19753.75,2025-02-22,2025-02-22,Reconciled,
TXN0002721,4973991102,-36152.51,-36152.51,2025-05-19,2025-05-19,Reconciled,
TXN0002429,8402070969,23632.46,23632.46,2025-05-04,2025-05-04,Reconciled,
TXN0000314,6538548253,-39126.71,-39173.04,2025-06-23,2025-06-23,Amount Discrepancy (Investigate),"Ledger -39126.71 vs bank -39173.04, diff 46.33."
TXN0005072,7192565149,-39444.82,-39444.82,2025-05-03,2025-05-05,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0004254,2867187517,21933.28,21933.28,2025-02-16,2025-02-16,Reconciled,
TXN0005852,6923747815,-27718.49,-27718.49,2025-03-24,2025-03-24,Reconciled,
TXN0005207,9130846071,-34693.91,-34693.91,2025-06-25,2025-06-26,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0000326,8227474536,-39034.40,-39034.40,2025-01-12,2025-01-12,Reconciled,
TXN0002626,2644598591,11161.70,11161.70,2025-02-09,2025-02-09,Reconciled,
TXN0005327,3747730922,-43862.54,-43862.54,2025-02-08,2025-02-08,Reconciled,
TXN0004629,1482853064,41129.87,41129.87,2025-04-10,2025-04-12,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0002939,5158422617,-43144.18,-43144.18,2025-02-13,2025-02-13,Reconciled,
TXN0003783,7707080882,29689.77,29689.77,2025-05-10,2025-05-10,Reconciled,
TXN0000876,9316669975,-3834.38,-3834.38,2025-06-02,2025-06-02,Reconciled,
TXN0000081,9819599565,18157.92,18157.92,2025-05-08,2025-05-08,Reconciled,
TXN0000242,7905164576,70.71,70.71,2025-01-01,2025-01-01,Reconciled,
TXN0005429,4374980039,-2842.30,-2842.30,2025-03-06,2025-03-06,Reconciled,
TXN0003023,5155663724,-25839.48,-25839.48,2025-01-07,2025-01-07,Reconciled,
TXN0004262,5791877747,44663.39,44663.39,2025-05-05,2025-05-05,Reconciled,
TXN0002373,2231735539,-25006.44,-25006.44,2025-06-18,2025-06-18,Reconciled,
TXN0003930,7996001978,-9428.20,-9428.20,2025-04-23,2025-04-23,Reconciled,
TXN0004259,3572580085,-2258.20,-2258.20,2025-02-12,2025-02-12,Reconciled,
TXN0005543,3829177894,-8555.28,-8555.28,2025-01-21,2025-01-21,Reconciled,
TXN0000319,3980485990,360.35,360.35,2025-06-19,2025-06-19,Reconciled,
TXN0002034,2646864156,-12128.37,-12128.37,2025-03-14,2025-03-16,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0003080,9241996776,44944.29,44944.29,2025-06-27,2025-06-27,Reconciled,
TXN0004038,1648105189,-18425.31,-18425.31,2025-05-14,2025-05-14,Reconciled,
TXN0000921,7072088816,-33972.73,-33972.73,2025-01-23,2025-01-23,Reconciled,
TXN0004664,5499644825,-2767.14,-2767.14,2025-02-16,2025-02-16,Reconciled,
TXN0000032,9069090607,28494.47,28494.47,2025-05-16,2025-05-16,Reconciled,
TXN0000502,2372942242,-4324.06,-4324.06,2025-03-18,2025-03-18,Reconciled,
TXN0000383,7983989796,-21855.69,-21855.69,2025-03-07,2025-03-07,Reconciled,
TXN0001768,5527089665,-27378.19,-27378.19,2025-05-25,2025-05-25,Reconciled,
TXN0002372,3339892837,-34338.80,-34338.80,2025-06-28,2025-06-28,Reconciled,
TXN0000369,9145031133,-13402.50,,2025-04-29,,Ledger-Only (Investigate),No matching bank record found for this ledger entry.
TXN0005325,4511847825,4193.55,4193.55,2025-04-04,2025-04-04,Reconciled,
TXN0000543,5615463340,4600.16,4600.16,2025-06-28,2025-06-28,Reconciled,
TXN0002852,8639909970,-32734.39,-32734.39,2025-01-20,2025-01-23,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0001576,7596215058,-13062.76,-13062.76,2025-01-27,2025-01-27,Reconciled,
TXN0000841,6565045070,-15916.51,-15916.51,2025-06-10,2025-06-10,Reconciled,
TXN0001483,5803465489,-16059.97,-16059.97,2025-05-03,2025-05-03,Reconciled,
TXN0002898,1973046709,-32943.93,-32943.93,2025-03-19,2025-03-19,Reconciled,
TXN0005374,1765305524,-22923.95,-22923.95,2025-03-22,2025-03-22,Reconciled,
TXN0002971,3224211687,40308.30,40308.30,2025-04-22,2025-04-22,Reconciled,
TXN0005233,3581122078,-24947.68,,2025-06-25,,Ledger-Only (Investigate),No matching bank record found for this ledger entry.
TXN0000061,1627878853,30790.97,30790.97,2025-03-24,2025-03-24,Reconciled,
TXN0001722,7540646635,-6052.06,-6052.06,2025-02-27,2025-03-02,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
TXN0001236,5011812849,-26215.55,-26215.55,2025-03-12,2025-03-12,Reconciled,
TXN0002759,6885851098,-38742.46,-38742.46,2025-05-27,2025-05-27,Reconciled,
TXN0004182,2241581621,-39969.18,-39969.18,2025-05-13,2025-05-13,Reconciled,
TXN0002081,5762987692,-41061.62,-41061.62,2025-01-13,2025-01-13,Reconciled,
TXN0002376,3901790210,-41428.92,-41428.92,2025-06-06,2025-06-06,Reconciled,
TXN0003036,2781870366,-17146.29,-17146.29,2025-03-04,2025-03-04,Reconciled,
TXN0000245,3775655864,-1633.35,-1633.35,2025-04-28,2025-04-28,Reconciled,
TXN0004247,9805064040,22743.16,22743.16,2025-05-23,2025-05-23,Reconciled,
TXN0001741,2750621148,-27454.89,-27454.89,2025-03-04,2025-03-04,Reconciled,
TXN0000634,6894905599,18327.65,18327.65,2025-01-31,2025-01-31,Reconciled,
TXN0002302,7794371289,17047.62,17047.62,2025-06-02,2025-06-02,Reconciled,
TXN0001103,7573580910,-21682.33,-21682.33,2025-06-26,2025-06-26,Reconciled,
TXN0003750,3770439110,35896.00,35896.00,2025-03-17,2025-03-19,Reconciled (Timing Difference),"Posted 2 day(s) apart -- in-transit item, not an error."
TXN0003883,1991617425,12740.95,12740.95,2025-01-20,2025-01-20,Reconciled,
TXN0004813,9544099184,-22888.21,-22888.21,2025-05-15,2025-05-15,Reconciled,
TXN0001646,1505996805,-6610.31,-6610.31,2025-01-02,2025-01-02,Reconciled,
TXN0004480,5204825663,-24287.60,-24287.60,2025-05-18,2025-05-18,Reconciled,
TXN0000620,5650062200,-7315.54,-7315.54,2025-05-08,2025-05-09,Reconciled (Timing Difference),"Posted 1 day(s) apart -- in-transit item, not an error."
TXN0004968,1490474824,-22718.38,-22718.38,2025-03-16,2025-03-16,Reconciled,
TXN0005898,9936695337,-7718.81,-7718.81,2025-06-17,2025-06-17,Reconciled,
TXN0004854,8665762771,-37582.94,-37582.94,2025-05-08,2025-05-08,Reconciled,
TXN0003837,2325784887,-18176.78,-18176.78,2025-03-20,2025-03-20,Reconciled,
TXN0000583,8586843107,15161.06,15161.06,2025-06-21,2025-06-21,Reconciled,
TXN0000810,9230831102,-19726.79,-19726.79,2025-06-04,2025-06-04,Reconciled,
TXN0005355,5468415257,-19326.12,-19326.12,2025-05-16,2025-05-16,Reconciled,
TXN0003139,6897455406,34849.48,34849.48,2025-04-29,2025-04-29,Reconciled,
TXN0005878,7449756859,-13847.72,-13847.72,2025-04-10,2025-04-10,Reconciled,
TXN0005302,2968072700,-8292.47,,2025-02-18,,Ledger-Only (Investigate),No matching bank record found for this ledger entry.
TXN0001767,2635509958,-44921.79,-44921.79,2025-01-08,2025-01-08,Reconciled,
TXN0001670,2375285540,-32683.17,-32683.17,2025-03-15,2025-03-15,Reconciled,
TXN0000349,9549236801,-19501.53,-19501.53,2025-04-13,2025-04-13,Reconciled,
TXN0000709,7048515725,-1027.47,-1027.47,2025-02-11,2025-02-11,Reconciled,
TXN0003742,7016097729,-4413.89,-4413.89,2025-05-13,2025-05-13,Reconciled,
TXN0001351,6149185776,-40939.25,-40939.25,2025-02-10,2025-02-10,Reconciled,
TXN0001050,5521559141,27790.39,27790.39,2025-02-13,2025-02-13,Reconciled,
TXN0004803,9089288613,-40066.53,-40066.53,2025-04-19,2025-04-19,Reconciled,
TXN0003836,3251607425,-36204.35,-36204.35,2025-03-26,2025-03-26,Reconciled,
TXN0002865,7610289269,21351.49,21351.49,2025-03-24,2025-03-24,Reconciled,
TXN0002467,9880789309,-29300.45,-29300.45,2025-04-15,2025-04-15,Reconciled,
TXN0000953,2078562829,-36312.23,-36312.23,2025-03-28,2025-03-28,Reconciled,
TXN0002748,3439225034,31302.80,31302.80,2025-04-13,2025-04-13,Reconciled,
TXN0001706,3168756002,-13976.54,-13976.54,2025-02-15,2025-02-15,Reconciled,
TXN0004703,9490450656,35047.34,35047.34,2025-06-08,2025-06-08,Reconciled,
TXN0005249,9114156312,-40685.23,-40685.23,2025-03-11,2025-03-11,Reconciled,
TXN0003806,9053812908,-23719.20,-23719.20,2025-05-29,2025-05-29,Reconciled,
TXN0001574,1079092097,-43669.66,-43669.66,2025-03-10,2025-03-10,Reconciled,
TXN0002320,9656208308,-18646.09,-18646.09,2025-03-25,2025-03-25,Reconciled,
TXN0005734,8511339234,-18644.85,-18644.85,2025-01-01,2025-01-01,Reconciled,
TXN0002310,3679296845,-163.67,-163.67,2025-01-29,2025-01-29,Reconciled,
TXN0004305,3105135703,41607.35,41838.17,2025-01-11,2025-01-11,Amount Discrepancy (Investigate),"Ledger 41607.35 vs bank 41838.17, diff -230.82."
TXN0005792,1782710399,26607.23,26607.23,2025-01-15,2025-01-18,Reconciled (Timing Difference),"Posted 3 day(s) apart -- in-transit item, not an error."
