txn_ref,account_number,post_date,amount,direction,description,branch_code
TXN0000099,5233292436,2025-05-15,18458.29,Credit,Payroll Deposit,0245
TXN0003025,8520026308,2025-05-14,-35619.44,Debit,POS Purchase,0389
TXN0001440,2186443848,2025-05-02,-32570.26,Debit,Outgoing Wire,0501
TXN0002485,3933275757,2025-02-06,-41046.65,Debit,POS Purchase,0245
TXN0004455,2317270855,2025-01-19,4566.79,Credit,Check Deposit,0112
TXN0000908,1927138391,2025-04-02,43309.58,Credit,Check Deposit,0389
TXN0002364,4759876088,2025-05-15,-36634.52,Debit,POS Purchase,0245
TXN0000011,7856770577,2025-01-18,41817.40,Credit,Check Deposit,0245
TXN0004081,1533719845,2025-01-19,15698.66,Credit,Check Deposit,0501
TXN0002297,5852155116,2025-03-09,-22020.18,Debit,Outgoing Wire,0678
TXN0000498,5492022473,2025-06-16,-134.41,Debit,Outgoing Wire,0389
TXN0002293,7136801114,2025-04-20,33550.99,Credit,Check Deposit,0245
TXN0002375,8185589096,2025-04-09,-4724.57,Debit,POS Purchase,0678
TXN0001822,2692481286,2025-01-22,-29868.57,Debit,Outgoing Wire,0112
TXN0003017,7143055804,2025-03-17,-44353.07,Debit,POS Purchase,0245
TXN0000263,5448736408,2025-02-10,-30129.82,Debit,Outgoing Wire,0678
TXN0005706,1582477663,2025-05-13,-32944.34,Debit,ATM Cash Withdrawal,0389
TXN0005086,4188877338,2025-05-29,11642.41,Credit,Check Deposit,0678
TXN0004561,7790930898,2025-04-16,-4202.92,Debit,Incoming Wire,0501
TXN0001532,2921181337,2025-02-07,-19849.72,Debit,POS Purchase,0389
TXN0005197,7436863408,2025-04-30,-17103.82,Debit,POS Purchase,0389
TXN0005645,2092811446,2025-06-18,13325.73,Credit,Vendor Payment,0678
TXN0002784,2721225272,2025-04-01,-39873.20,Debit,Vendor Payment,0501
TXN0003633,4835949168,2025-01-05,-35479.04,Debit,Outgoing Wire,0389
TXN0004374,9447616798,2025-02-06,21028.37,Credit,Vendor Payment,0678
TXN0000861,3603090195,2025-06-12,-5136.72,Debit,POS Purchase,0678
TXN0005661,3098665538,2025-03-11,14456.21,Credit,Check Deposit,0245
TXN0004616,2044780625,2025-04-08,-33720.73,Debit,Vendor Payment,0112
TXN0004866,9941958903,2025-06-07,-8134.14,Debit,Vendor Payment,0245
TXN0003877,2010265668,2025-02-17,11422.71,Credit,Check Deposit,0245
TXN0001747,2284481324,2025-04-20,-16620.19,Debit,Incoming Wire,0389
TXN0002486,3179124949,2025-03-06,2107.89,Credit,Check Deposit,0245
TXN0000576,6298745701,2025-05-12,-40120.08,Debit,Account Transfer,0112
TXN0005848,7837871094,2025-04-21,33104.12,Credit,Payroll Deposit,0678
TXN0003405,3256035335,2025-01-28,-9667.08,Debit,Outgoing Wire,0678
TXN0003266,5075916997,2025-02-03,3950.65,Credit,Account Transfer,0112
TXN0002738,6060080626,2025-01-29,-7479.89,Debit,POS Purchase,0389
TXN0001862,6089884957,2025-06-23,-13793.60,Debit,Outgoing Wire,0389
TXN0000355,4944917833,2025-02-05,3596.35,Credit,Vendor Payment,0501
TXN0000607,5533944366,2025-01-12,-13375.16,Debit,Incoming Wire,0501
TXN0003128,9439837853,2025-06-25,41211.63,Credit,Payroll Deposit,0501
TXN0000713,6035851729,2025-05-28,-11310.32,Debit,POS Purchase,0678
TXN0001039,5103371211,2025-06-22,-41526.21,Debit,Vendor Payment,0245
TXN0004960,7155604711,2025-06-19,13206.72,Credit,ATM Cash Withdrawal,0112
TXN0004997,3386210163,2025-06-10,12873.00,Credit,Account Transfer,0245
TXN0004447,5959537635,2025-03-22,25156.22,Credit,Payroll Deposit,0245
TXN0003923,4711923322,2025-05-26,32051.29,Credit,Payroll Deposit,0389
TXN0004924,3439853040,2025-06-25,-9969.57,Debit,Incoming Wire,0112
TXN0002307,1540656574,2025-03-22,-18943.17,Debit,Outgoing Wire,0501
TXN0000339,8587548482,2025-05-10,-910.77,Debit,Vendor Payment,0245
TXN0002642,1413881887,2025-06-16,11494.56,Credit,Payroll Deposit,0245
TXN0005427,8048298784,2025-01-27,-12803.57,Debit,Vendor Payment,0501
TXN0003185,7180428369,2025-01-20,35390.88,Credit,Account Transfer,0501
TXN0002885,7188317186,2025-04-19,-12547.41,Debit,Outgoing Wire,0678
TXN0003618,7056654032,2025-06-20,-30967.39,Debit,Incoming Wire,0112
TXN0000451,2774830523,2025-01-04,-20109.81,Debit,Vendor Payment,0245
TXN0000879,3785875720,2025-01-05,-19565.77,Debit,ATM Cash Withdrawal,0112
TXN0005377,9301862598,2025-01-26,31265.56,Credit,Payroll Deposit,0245
TXN0002167,2273506327,2025-03-02,20870.20,Credit,Check Deposit,0678
TXN0004431,7283061438,2025-03-03,-19384.21,Debit,Incoming Wire,0389
TXN0002798,1648060591,2025-05-26,29175.15,Credit,Account Transfer,0389
TXN0003699,9175969950,2025-05-04,-6257.02,Debit,ATM Cash Withdrawal,0245
TXN0004384,3350347340,2025-05-31,-9921.95,Debit,Incoming Wire,0245
TXN0000406,9599191007,2025-01-16,-21579.72,Debit,ATM Cash Withdrawal,0389
TXN0005868,7559707238,2025-05-06,-11122.23,Debit,Incoming Wire,0389
TXN0002337,3523247355,2025-02-01,-4904.54,Debit,Vendor Payment,0678
TXN0004846,7946546169,2025-01-18,-5218.68,Debit,Account Transfer,0245
TXN0002289,8831096060,2025-03-12,33014.43,Credit,Payroll Deposit,0112
TXN0002851,8875073269,2025-03-19,-11522.17,Debit,Outgoing Wire,0245
TXN0000439,5620035584,2025-05-20,-24942.48,Debit,POS Purchase,0389
TXN0005190,8251980460,2025-05-26,-15976.25,Debit,Vendor Payment,0245
TXN0001387,3047644165,2025-02-09,4091.95,Credit,Payroll Deposit,0112
TXN0004822,4914517114,2025-05-22,43612.37,Credit,Account Transfer,0501
TXN0003277,3213277314,2025-03-21,6516.40,Credit,POS Purchase,0245
TXN0001353,4195160340,2025-05-01,437.60,Credit,Payroll Deposit,0678
TXN0001278,1286813457,2025-02-19,-35298.12,Debit,Incoming Wire,0389
TXN0002146,8652406636,2025-02-18,-20702.10,Debit,POS Purchase,0245
TXN0001298,4274225629,2025-05-25,6340.13,Credit,Check Deposit,0389
TXN0005358,4363969488,2025-03-21,-18888.03,Debit,POS Purchase,0245
TXN0005460,7848958178,2025-03-10,-146.81,Debit,Incoming Wire,0245
TXN0003823,7214251682,2025-01-08,31558.62,Credit,Vendor Payment,0678
TXN0004760,6652648123,2025-03-20,-8516.98,Debit,Account Transfer,0245
TXN0001734,6032254145,2025-02-08,-30000.69,Debit,Account Transfer,0245
TXN0003588,5073216984,2025-01-08,-35829.68,Debit,POS Purchase,0678
TXN0002595,5930565713,2025-02-02,-22698.05,Debit,Vendor Payment,0112
TXN0002649,1312400081,2025-02-06,-30231.95,Debit,ATM Cash Withdrawal,0678
TXN0004133,6763529857,2025-02-13,-13355.69,Debit,Outgoing Wire,0389
TXN0005451,4132258934,2025-06-30,-33537.63,Debit,ATM Cash Withdrawal,0389
TXN0001560,3107220349,2025-05-24,36772.38,Credit,Account Transfer,0501
TXN0005945,1675160099,2025-06-04,12619.26,Credit,Check Deposit,0501
TXN0004208,8370600462,2025-03-20,-7870.64,Debit,ATM Cash Withdrawal,0245
TXN0003759,3419664521,2025-02-11,-28713.02,Debit,Outgoing Wire,0245
TXN0002639,9515806205,2025-05-05,-14771.43,Debit,Account Transfer,0501
TXN0005764,9302338555,2025-05-18,-37955.18,Debit,ATM Cash Withdrawal,0245
TXN0005613,1294862985,2025-06-25,-4044.73,Debit,Vendor Payment,0245
TXN0005467,7601939349,2025-04-18,18927.80,Credit,Payroll Deposit,0501
TXN0004030,8386475725,2025-01-24,14029.23,Credit,Payroll Deposit,0678
TXN0002466,4565089875,2025-06-08,40421.21,Credit,Payroll Deposit,0678
TXN0000452,5734051500,2025-02-20,-12521.54,Debit,Incoming Wire,0501
TXN0004515,8399040854,2025-05-05,41737.60,Credit,Payroll Deposit,0245
TXN0000141,9357710042,2025-02-02,-8150.79,Debit,Incoming Wire,0245
TXN0003566,3360818602,2025-04-05,11240.23,Credit,Check Deposit,0389
TXN0005700,9006219198,2025-01-24,-18030.72,Debit,ATM Cash Withdrawal,0501
TXN0005109,2698841183,2025-01-20,-24129.86,Debit,ATM Cash Withdrawal,0112
TXN0004022,4093144851,2025-01-01,-13016.19,Debit,ATM Cash Withdrawal,0501
TXN0004919,3800932720,2025-02-26,-37569.85,Debit,ATM Cash Withdrawal,0678
TXN0003302,9476483331,2025-03-08,4511.37,Credit,Payroll Deposit,0678
TXN0001772,2611167089,2025-03-21,9113.03,Credit,Account Transfer,0501
TXN0001974,5851441102,2025-06-29,-31046.30,Debit,Vendor Payment,0501
TXN0002544,4700739247,2025-02-04,-33156.07,Debit,Vendor Payment,0112
TXN0003697,2689187012,2025-06-13,-44271.73,Debit,Incoming Wire,0678
TXN0005936,7318503723,2025-05-14,-1734.99,Debit,Account Transfer,0389
TXN0002867,1840032439,2025-01-02,8272.95,Credit,Payroll Deposit,0389
TXN0005375,1255027829,2025-04-20,-28670.76,Debit,Outgoing Wire,0245
TXN0004137,9134463463,2025-04-07,-29699.96,Debit,Outgoing Wire,0678
TXN0000215,3971796731,2025-03-12,-17123.29,Debit,POS Purchase,0245
TXN0005413,8137088568,2025-01-11,-2422.10,Debit,Incoming Wire,0678
TXN0004974,2036862966,2025-02-11,-18428.77,Debit,ATM Cash Withdrawal,0678
TXN0005973,2355432224,2025-05-25,36209.40,Credit,Payroll Deposit,0678
TXN0001857,1247593284,2025-02-22,-21334.60,Debit,POS Purchase,0678
TXN0001498,5235288495,2025-01-17,4566.91,Credit,Payroll Deposit,0112
TXN0000697,8718433845,2025-04-09,-23835.53,Debit,ATM Cash Withdrawal,0678
TXN0000295,1563945320,2025-04-25,22303.54,Credit,Account Transfer,0389
TXN0002234,8081860979,2025-03-08,-25334.56,Debit,Vendor Payment,0112
TXN0002979,6928389910,2025-01-29,-17248.77,Debit,POS Purchase,0389
TXN0004710,5179139387,2025-03-14,-4236.64,Debit,Vendor Payment,0389
TXN0004241,7878410459,2025-06-20,-28424.39,Debit,ATM Cash Withdrawal,0678
TXN0000817,4669429746,2025-01-15,-27553.72,Debit,POS Purchase,0112
TXN0004557,1869489555,2025-05-02,-11986.26,Debit,POS Purchase,0112
TXN0005420,3982756765,2025-04-08,28368.66,Credit,Payroll Deposit,0112
TXN0005871,6225026093,2025-01-28,-27243.16,Debit,Incoming Wire,0678
TXN0004714,3720287567,2025-06-27,-32927.25,Debit,ATM Cash Withdrawal,0501
TXN0000602,2948287932,2025-04-13,39420.03,Credit,POS Purchase,0501
TXN0003322,4532483206,2025-06-22,-32719.34,Debit,Outgoing Wire,0389
TXN0005693,7969268204,2025-03-03,-19233.70,Debit,Outgoing Wire,0245
TXN0001240,2786485108,2025-04-11,-24334.38,Debit,ATM Cash Withdrawal,0389
TXN0002934,1155072459,2025-04-19,25006.92,Credit,Check Deposit,0678
TXN0000736,1375889495,2025-01-12,-10091.78,Debit,Incoming Wire,0245
TXN0004689,1180299355,2025-01-09,14945.69,Credit,Payroll Deposit,0678
TXN0002427,2218819507,2025-02-15,-12765.94,Debit,Outgoing Wire,0112
TXN0001380,1494481952,2025-06-12,18448.09,Credit,Check Deposit,0501
TXN0003875,3092224319,2025-03-28,11567.64,Credit,Check Deposit,0678
TXN0001951,6901538761,2025-03-21,-809.65,Debit,POS Purchase,0678
TXN0001162,3872963787,2025-04-23,-5442.28,Debit,Vendor Payment,0678
TXN0000726,4528031502,2025-05-31,-3280.34,Debit,Vendor Payment,0389
TXN0005161,3734510891,2025-05-16,-8242.16,Debit,Vendor Payment,0678
TXN0004633,1343199049,2025-05-18,13833.26,Credit,Payroll Deposit,0678
TXN0000563,2077674123,2025-01-30,728.88,Credit,Check Deposit,0112
TXN0002462,8621478088,2025-04-04,34174.41,Credit,Account Transfer,0678
TXN0004316,4601165095,2025-05-19,-36746.91,Debit,Incoming Wire,0245
TXN0004649,3260945112,2025-06-26,-28353.43,Debit,ATM Cash Withdrawal,0112
TXN0003632,4966723835,2025-03-06,-2792.65,Debit,ATM Cash Withdrawal,0245
TXN0002404,7193604606,2025-04-05,-21989.46,Debit,POS Purchase,0501
TXN0000050,5335665480,2025-01-10,1235.00,Credit,Check Deposit,0112
TXN0001400,9058110635,2025-04-22,-12505.97,Debit,Vendor Payment,0112
TXN0002009,1105702808,2025-01-13,-3154.35,Debit,Outgoing Wire,0678
TXN0001622,4360165104,2025-02-05,15058.04,Credit,Check Deposit,0678
TXN0000489,8769036542,2025-06-25,-25307.39,Debit,POS Purchase,0501
TXN0000271,1358297428,2025-01-24,-21166.74,Debit,Incoming Wire,0389
TXN0000253,6722240668,2025-06-04,-37287.15,Debit,ATM Cash Withdrawal,0245
TXN0004336,7760295967,2025-04-13,-34740.64,Debit,ATM Cash Withdrawal,0678
TXN0004043,4798116452,2025-02-22,-19753.75,Debit,POS Purchase,0678
TXN0002721,4973991102,2025-05-19,-36152.51,Debit,Incoming Wire,0389
TXN0002429,8402070969,2025-05-04,23632.46,Credit,Payroll Deposit,0245
TXN0000314,6538548253,2025-06-23,-39126.71,Debit,Incoming Wire,0245
TXN0005072,7192565149,2025-05-03,-39444.82,Debit,Incoming Wire,0389
TXN0004254,2867187517,2025-02-16,21933.28,Credit,Check Deposit,0389
TXN0005852,6923747815,2025-03-24,-27718.49,Debit,Incoming Wire,0389
TXN0005207,9130846071,2025-06-25,-34693.91,Debit,POS Purchase,0245
TXN0000326,8227474536,2025-01-12,-39034.40,Debit,POS Purchase,0245
TXN0002626,2644598591,2025-02-09,11161.70,Credit,Check Deposit,0501
TXN0005327,3747730922,2025-02-08,-43862.54,Debit,ATM Cash Withdrawal,0501
TXN0004629,1482853064,2025-04-10,41129.87,Credit,Account Transfer,0501
TXN0002939,5158422617,2025-02-13,-43144.18,Debit,Vendor Payment,0112
TXN0003783,7707080882,2025-05-10,29689.77,Credit,Outgoing Wire,0245
TXN0000876,9316669975,2025-06-02,-3834.38,Debit,Vendor Payment,0678
TXN0000081,9819599565,2025-05-08,18157.92,Credit,Payroll Deposit,0678
TXN0000242,7905164576,2025-01-01,70.71,Credit,Payroll Deposit,0389
TXN0005429,4374980039,2025-03-06,-2842.30,Debit,ATM Cash Withdrawal,0678
TXN0003023,5155663724,2025-01-07,-25839.48,Debit,Outgoing Wire,0389
TXN0004262,5791877747,2025-05-05,44663.39,Credit,Payroll Deposit,0389
TXN0002373,2231735539,2025-06-18,-25006.44,Debit,Incoming Wire,0501
TXN0003930,7996001978,2025-04-23,-9428.20,Debit,ATM Cash Withdrawal,0112
TXN0004259,3572580085,2025-02-12,-2258.20,Debit,POS Purchase,0245
TXN0005543,3829177894,2025-01-21,-8555.28,Debit,Incoming Wire,0112
TXN0000319,3980485990,2025-06-19,360.35,Credit,Check Deposit,0112
TXN0002034,2646864156,2025-03-14,-12128.37,Debit,Incoming Wire,0678
TXN0003080,9241996776,2025-06-27,44944.29,Credit,Payroll Deposit,0389
TXN0004038,1648105189,2025-05-14,-18425.31,Debit,Vendor Payment,0389
TXN0000921,7072088816,2025-01-23,-33972.73,Debit,ATM Cash Withdrawal,0389
TXN0004664,5499644825,2025-02-16,-2767.14,Debit,Vendor Payment,0245
TXN0000032,9069090607,2025-05-16,28494.47,Credit,Payroll Deposit,0678
TXN0000502,2372942242,2025-03-18,-4324.06,Debit,POS Purchase,0389
TXN0000383,7983989796,2025-03-07,-21855.69,Debit,Incoming Wire,0112
TXN0001768,5527089665,2025-05-25,-27378.19,Debit,Vendor Payment,0389
TXN0002372,3339892837,2025-06-28,-34338.80,Debit,Vendor Payment,0112
TXN0000369,9145031133,2025-04-29,-13402.50,Debit,POS Purchase,0678
TXN0005325,4511847825,2025-04-04,4193.55,Credit,Check Deposit,0501
TXN0000543,5615463340,2025-06-28,4600.16,Credit,Check Deposit,0112
TXN0002852,8639909970,2025-01-20,-32734.39,Debit,ATM Cash Withdrawal,0501
TXN0001576,7596215058,2025-01-27,-13062.76,Debit,POS Purchase,0501
TXN0000841,6565045070,2025-06-10,-15916.51,Debit,POS Purchase,0112
TXN0001483,5803465489,2025-05-03,-16059.97,Debit,Incoming Wire,0678
TXN0002898,1973046709,2025-03-19,-32943.93,Debit,ATM Cash Withdrawal,0245
TXN0005374,1765305524,2025-03-22,-22923.95,Debit,Vendor Payment,0389
TXN0002971,3224211687,2025-04-22,40308.30,Credit,Account Transfer,0112
TXN0005233,3581122078,2025-06-25,-24947.68,Debit,Account Transfer,0245
TXN0000061,1627878853,2025-03-24,30790.97,Credit,Outgoing Wire,0245
TXN0001722,7540646635,2025-02-27,-6052.06,Debit,POS Purchase,0501
TXN0001236,5011812849,2025-03-12,-26215.55,Debit,Vendor Payment,0245
TXN0002759,6885851098,2025-05-27,-38742.46,Debit,POS Purchase,0112
TXN0004182,2241581621,2025-05-13,-39969.18,Debit,Incoming Wire,0501
TXN0002081,5762987692,2025-01-13,-41061.62,Debit,Outgoing Wire,0245
TXN0002376,3901790210,2025-06-06,-41428.92,Debit,Account Transfer,0389
TXN0003036,2781870366,2025-03-04,-17146.29,Debit,Vendor Payment,0112
TXN0000245,3775655864,2025-04-28,-1633.35,Debit,POS Purchase,0389
TXN0004247,9805064040,2025-05-23,22743.16,Credit,Account Transfer,0678
TXN0001741,2750621148,2025-03-04,-27454.89,Debit,POS Purchase,0389
TXN0000634,6894905599,2025-01-31,18327.65,Credit,Payroll Deposit,0389
TXN0002302,7794371289,2025-06-02,17047.62,Credit,Payroll Deposit,0501
TXN0001103,7573580910,2025-06-26,-21682.33,Debit,ATM Cash Withdrawal,0678
TXN0003750,3770439110,2025-03-17,35896.00,Credit,Account Transfer,0501
TXN0003883,1991617425,2025-01-20,12740.95,Credit,Check Deposit,0389
TXN0004813,9544099184,2025-05-15,-22888.21,Debit,ATM Cash Withdrawal,0389
TXN0001646,1505996805,2025-01-02,-6610.31,Debit,ATM Cash Withdrawal,0678
TXN0004480,5204825663,2025-05-18,-24287.60,Debit,Vendor Payment,0112
TXN0000620,5650062200,2025-05-08,-7315.54,Debit,Outgoing Wire,0389
TXN0004968,1490474824,2025-03-16,-22718.38,Debit,Account Transfer,0112
TXN0005898,9936695337,2025-06-17,-7718.81,Debit,Outgoing Wire,0112
TXN0004854,8665762771,2025-05-08,-37582.94,Debit,Incoming Wire,0389
TXN0003837,2325784887,2025-03-20,-18176.78,Debit,Outgoing Wire,0678
TXN0000583,8586843107,2025-06-21,15161.06,Credit,Check Deposit,0678
TXN0000810,9230831102,2025-06-04,-19726.79,Debit,Vendor Payment,0112
TXN0005355,5468415257,2025-05-16,-19326.12,Debit,ATM Cash Withdrawal,0678
TXN0003139,6897455406,2025-04-29,34849.48,Credit,Payroll Deposit,0389
TXN0005878,7449756859,2025-04-10,-13847.72,Debit,POS Purchase,0678
TXN0005302,2968072700,2025-02-18,-8292.47,Debit,Incoming Wire,0501
TXN0001767,2635509958,2025-01-08,-44921.79,Debit,Outgoing Wire,0112
TXN0001670,2375285540,2025-03-15,-32683.17,Debit,Outgoing Wire,0678
TXN0000349,9549236801,2025-04-13,-19501.53,Debit,Incoming Wire,0245
TXN0000709,7048515725,2025-02-11,-1027.47,Debit,Outgoing Wire,0678
TXN0003742,7016097729,2025-05-13,-4413.89,Debit,Incoming Wire,0501
TXN0001351,6149185776,2025-02-10,-40939.25,Debit,Incoming Wire,0112
TXN0001050,5521559141,2025-02-13,27790.39,Credit,Payroll Deposit,0389
TXN0004803,9089288613,2025-04-19,-40066.53,Debit,Vendor Payment,0389
TXN0003836,3251607425,2025-03-26,-36204.35,Debit,Incoming Wire,0112
TXN0002865,7610289269,2025-03-24,21351.49,Credit,Account Transfer,0389
TXN0002467,9880789309,2025-04-15,-29300.45,Debit,Account Transfer,0389
TXN0000953,2078562829,2025-03-28,-36312.23,Debit,ATM Cash Withdrawal,0245
TXN0002748,3439225034,2025-04-13,31302.80,Credit,Check Deposit,0501
TXN0001706,3168756002,2025-02-15,-13976.54,Debit,Incoming Wire,0501
TXN0004703,9490450656,2025-06-08,35047.34,Credit,Payroll Deposit,0501
TXN0005249,9114156312,2025-03-11,-40685.23,Debit,Outgoing Wire,0112
TXN0003806,9053812908,2025-05-29,-23719.20,Debit,POS Purchase,0112
TXN0001574,1079092097,2025-03-10,-43669.66,Debit,Incoming Wire,0245
TXN0002320,9656208308,2025-03-25,-18646.09,Debit,Outgoing Wire,0245
TXN0005734,8511339234,2025-01-01,-18644.85,Debit,Outgoing Wire,0389
TXN0002310,3679296845,2025-01-29,-163.67,Debit,POS Purchase,0501
TXN0004305,3105135703,2025-01-11,41607.35,Credit,Check Deposit,0678
TXN0005792,1782710399,2025-01-15,26607.23,Credit,Payroll Deposit,0112
TXN0000672,6426826395,2025-06-27,-43512.42,Debit,Vendor Payment,0501
TXN0002258,6487070831,2025-04-27,-17968.63,Debit,Incoming Wire,0678
TXN0002956,7040016590,2025-01-05,-18903.40,Debit,Incoming Wire,0501
TXN0000868,9269972503,2025-03-28,39055.02,Credit,Payroll Deposit,0389
TXN0001662,3416491807,2025-05-22,15392.96,Credit,Payroll Deposit,0501
TXN0005679,1497725768,2025-03-23,-37700.66,Debit,ATM Cash Withdrawal,0678
TXN0000728,2769943364,2025-01-20,-28826.14,Debit,Vendor Payment,0112
TXN0004449,5183396437,2025-05-31,-34279.48,Debit,Vendor Payment,0678
TXN0001964,4772130097,2025-06-01,37193.59,Credit,Payroll Deposit,0501
TXN0001009,1860438730,2025-03-01,-25681.25,Debit,ATM Cash Withdrawal,0112
TXN0004344,4453777298,2025-01-14,11368.24,Credit,Account Transfer,0501
TXN0004964,1150786761,2025-01-13,14813.57,Credit,Payroll Deposit,0112
TXN0004754,5197038631,2025-02-19,41739.82,Credit,Account Transfer,0389
TXN0001069,7948478070,2025-06-27,-15874.78,Debit,Account Transfer,0112
TXN0000675,5232599576,2025-02-04,-44939.27,Debit,POS Purchase,0112
TXN0000076,5975041015,2025-05-09,15881.43,Credit,Check Deposit,0678
TXN0000613,6115874553,2025-05-24,-41076.31,Debit,Incoming Wire,0678
TXN0000740,6875475089,2025-04-28,13563.18,Credit,Payroll Deposit,0501
TXN0004154,7557298443,2025-03-10,-32865.92,Debit,ATM Cash Withdrawal,0501
TXN0000759,3349531661,2025-06-23,-15037.43,Debit,POS Purchase,0245
TXN0004092,9829377769,2025-02-27,36557.49,Credit,Payroll Deposit,0501
TXN0002804,3664911441,2025-03-26,5145.51,Credit,Payroll Deposit,0245
TXN0002069,1115494538,2025-01-23,8838.06,Credit,Check Deposit,0245
TXN0000837,2481532633,2025-01-29,-38820.22,Debit,Incoming Wire,0112
TXN0003030,7043716166,2025-03-08,-20208.86,Debit,POS Purchase,0389
TXN0005914,9796947823,2025-01-17,26478.18,Credit,Check Deposit,0112
TXN0002819,5214431497,2025-02-18,-1956.19,Debit,Incoming Wire,0501
TXN0003945,2008474571,2025-01-01,-8806.39,Debit,ATM Cash Withdrawal,0245
TXN0005319,8282682410,2025-03-03,41774.88,Credit,Account Transfer,0112
TXN0002647,9215890578,2025-03-03,-7381.02,Debit,POS Purchase,0678
TXN0003469,8402412474,2025-02-01,-35737.48,Debit,POS Purchase,0389
TXN0000638,7901619068,2025-05-11,-9302.93,Debit,POS Purchase,0501
TXN0000211,7127363129,2025-04-12,-9960.14,Debit,Vendor Payment,0389
TXN0001254,8986359484,2025-04-27,-28320.81,Debit,Vendor Payment,0501
TXN0005955,4528784155,2025-05-29,34910.77,Credit,Payroll Deposit,0245
TXN0003772,9299426028,2025-03-21,-16135.77,Debit,Account Transfer,0245
TXN0002410,9347241347,2025-02-17,-4882.41,Debit,Incoming Wire,0678
TXN0003472,9893749227,2025-04-14,-8346.34,Debit,Outgoing Wire,0389
TXN0002644,3469714075,2025-04-20,44105.32,Credit,Check Deposit,0501
TXN0002357,4481634327,2025-01-02,-6573.24,Debit,Account Transfer,0501
TXN0002051,8860647395,2025-06-09,-11284.48,Debit,Vendor Payment,0678
TXN0000604,4685163964,2025-05-13,-24220.18,Debit,Outgoing Wire,0245
TXN0004816,1731727668,2025-02-08,15014.92,Credit,Payroll Deposit,0678
TXN0000196,6768778413,2025-02-10,-43935.63,Debit,ATM Cash Withdrawal,0112
TXN0003355,4467721378,2025-05-22,-35364.58,Debit,Account Transfer,0501
TXN0004192,4505802832,2025-04-07,-16935.71,Debit,POS Purchase,0245
TXN0002569,4748578177,2025-03-19,-28751.60,Debit,ATM Cash Withdrawal,0112
TXN0003700,2020995019,2025-02-19,-28949.59,Debit,Incoming Wire,0501
TXN0003669,3127846667,2025-01-25,-31090.57,Debit,Incoming Wire,0245
TXN0000503,1164694217,2025-01-20,12031.16,Credit,Check Deposit,0678
TXN0001737,5083195603,2025-02-22,33145.61,Credit,Payroll Deposit,0245
TXN0005128,1405017968,2025-06-12,-41740.98,Debit,ATM Cash Withdrawal,0501
TXN0000394,4388701992,2025-01-21,26956.41,Credit,Check Deposit,0678
TXN0001237,1571604999,2025-01-01,-12035.82,Debit,POS Purchase,0112
TXN0004369,2445909134,2025-03-01,-28506.17,Debit,POS Purchase,0678
TXN0005219,5281232557,2025-03-16,-34119.44,Debit,Vendor Payment,0501
TXN0005566,9544493685,2025-02-24,-10573.40,Debit,Outgoing Wire,0389
TXN0001565,3110686140,2025-06-14,34290.33,Credit,Payroll Deposit,0501
TXN0003816,1565869040,2025-05-26,28341.31,Credit,Check Deposit,0501
TXN0004371,1097215394,2025-04-23,-5395.16,Debit,ATM Cash Withdrawal,0245
TXN0001673,1381893711,2025-04-28,12207.14,Credit,Check Deposit,0389
