RefNumber,AcctNumber,StatementDate,Amount,TxnType,Memo
TXN0000707,468-086-8447,02-Jun-2025,"($44,913.64)",Internal Transfer,Account Transfer
TXN0004417,137-375-0657,06/17/2025,"($44,018.67)",Wire Transfer,Incoming Wire
TXN0001795,418-215-4628,28-Jan-2025,"($29,731.90)",Wire Transfer,INCOMING WIRE
TXN0004080,150-915-7558,04/09/2025,"$11,703.49",ACH Credit,Payroll Deposit
TXN0003938, 795-854-6750 ,05/31/2025,"($26,817.60)",Debit Card,POS Purchase
TXN0001324,860-013-7834,20-Apr-2025,"($15,459.01)",Wire Transfer,INCOMING WIRE
txn0003191,519-838-3166,14-Apr-2025,"($36,883.21)",ACH Debit,Vendor Payment
TXN0005627,204-102-2075,06/14/2025,"$18,988.37",ACH Credit,PAYROLL DEPOSIT
TXN0002682,527-619-8318,06/26/2025,"($10,854.61)",ACH Debit,Vendor Payment
TXN0004000,195-185-2877,06/17/2025,"$23,150.14",Internal Transfer,Account Transfer
TXN0000547,151-740-3015,06/24/2025,"($11,502.83)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0001079,974-125-0701,27-Feb-2025,"($18,868.15)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0002311,715-134-6585,27-May-2025,"($6,264.18)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0000679,809-331-5361,04/24/2025,"($6,640.97)",Debit Card,POS Purchase
TXN0004778,564-121-6563,05/06/2025,"($36,296.99)",Wire Transfer,Outgoing Wire
TXN0000558,238-449-8966,06/08/2025,"($33,477.51)",ACH Debit,Vendor Payment
TXN0005676,265-125-2570,06/23/2025,"($13,881.74)",Debit Card,POS Purchase
TXN0003402,679-735-6141,26-May-2025,"$37,560.88",Internal Transfer,Account Transfer
TXN0005069,687-657-0804,04/01/2025,"($29,625.52)",Debit Card,POS Purchase
TXN0003826,395-889-4983,01/07/2025,"$22,655.85",Check Deposit,CHECK DEPOSIT
TXN0004596,392-230-4658,03/26/2025,"($28,556.98)",Wire Transfer,Outgoing Wire
TXN0002787,680-703-2395,31-May-2025,"($16,662.03)",Debit Card,POS PURCHASE
txn0004717,997-645-4359,10-Jan-2025,"($13,673.62)",ATM Withdrawal,ATM CASH WITHDRAWAL
 TXN0000942, 402-988-5588 ,10-Jun-2025,"($14,461.76)",Internal Transfer,Account Transfer
TXN0005899,157-636-7462,03/25/2025,"($44,761.45)",Wire Transfer,Incoming Wire
TXN0004070,962-039-7118,06/24/2025,"$38,495.76",ACH Debit,Vendor Payment
txn0002852,863-990-9970,23-Jan-2025,"($32,734.39)",ATM Withdrawal,ATM Cash Withdrawal
TXN0000473,387-877-1991,06/28/2025,"($33,329.75)",ATM Withdrawal,ATM Cash Withdrawal
TXN0000468,732-789-3382,06/04/2025,"($6,025.38)",Wire Transfer,Incoming Wire
TXN0000412,584-258-9214,03/28/2025,"($3,591.18)",Wire Transfer,OUTGOING WIRE
TXN0004665,758-850-5365,02/14/2025,"($9,239.60)",ACH Debit,Vendor Payment
TXN0001045,637-417-0760,03/25/2025,"($12,219.91)",ATM Withdrawal,ATM Cash Withdrawal
TXN0004162,418-148-0973,06/29/2025,"$43,387.13",Check Deposit,CHECK DEPOSIT
 TXN0002692,992-136-5439,04/22/2025,"($5,686.35)",ACH Debit,VENDOR PAYMENT
txn0002313,732-083-7863,15-Jan-2025,"$41,794.76",Check Deposit,CHECK DEPOSIT
TXN0000089,916-175-3450,28-Jun-2025,"($6,091.22)",ATM Withdrawal,ATM CASH WITHDRAWAL
 txn0003274,660-707-6949,05/14/2025,"($1,121.39)",ATM Withdrawal,ATM Cash Withdrawal
TXN0003330,900-085-8821,01/29/2025,"($17,011.22)",Debit Card,POS Purchase
TXN0001995, 619-479-1557 ,06/25/2025,"($30,953.35)",ACH Debit,VENDOR PAYMENT
TXN0004068,809-437-7527,02/09/2025,"($18,625.62)",Wire Transfer,Incoming Wire
TXN0001080,764-937-4904,23-Jan-2025,"($20,579.71)",ATM Withdrawal,ATM Cash Withdrawal
TXN0001626,858-931-8825,09-Mar-2025,"($35,542.88)",Internal Transfer,ACCOUNT TRANSFER
TXN0004956,844-710-9312,08-Feb-2025,"($9,031.44)",Debit Card,POS PURCHASE
TXN0003589,875-346-7402,11-Feb-2025,"($25,162.10)",ACH Debit,Vendor Payment
 TXN0001381,963-739-1320,24-Apr-2025,"($22,106.51)",Internal Transfer,Account Transfer
TXN0000650,428-788-1268,10-Jun-2025,"($2,027.93)",ATM Withdrawal,ATM CASH WITHDRAWAL
 TXN0002228,640-612-5488,04/07/2025,"($10,220.17)",ATM Withdrawal,ATM CASH WITHDRAWAL
 TXN0003320,776-987-9995,08-Feb-2025,"$41,914.61",ACH Credit,Payroll Deposit
TXN0002086, 343-337-6796 ,06/01/2025,"$43,009.45",Check Deposit,Check Deposit
TXN0004159,910-946-6847,06/06/2025,"$44,942.46",ACH Credit,PAYROLL DEPOSIT
 TXN0004193, 814-491-6360 ,02/06/2025,"($5,846.14)",Internal Transfer,Account Transfer
TXN0005662,717-557-7983,26-Mar-2025,"$26,211.42",Check Deposit,CHECK DEPOSIT
TXN0000382, 609-732-6981 ,06-Feb-2025,"$28,809.33",Wire Transfer,Outgoing Wire
txn0005090,758-679-5066,02/12/2025,"$32,609.39",ACH Credit,Payroll Deposit
TXN0001270,510-582-7467,26-Mar-2025,"$7,652.02",Check Deposit,Check Deposit
TXN0001394,186-994-0376,05/21/2025,"$7,245.34",Check Deposit,CHECK DEPOSIT
TXN0003133, 500-147-8240 ,03/07/2025,"($32,495.49)",Debit Card,POS Purchase
 TXN0000461,862-996-0597,06/18/2025,"($24,310.73)",ACH Debit,Vendor Payment
TXN0005148,735-518-1674,30-May-2025,"($17,759.10)",Debit Card,POS Purchase
TXN0003152,200-205-4538,05/29/2025,"$28,615.95",Check Deposit,Check Deposit
TXN0002673,442-176-4445,17-Jan-2025,"($2,290.00)",Internal Transfer,ACCOUNT TRANSFER
TXN0005462,180-867-4868,21-Mar-2025,"($33,573.22)",Internal Transfer,ACCOUNT TRANSFER
 TXN0004732,113-497-9038,30-Jan-2025,"$1,999.73",Internal Transfer,ACCOUNT TRANSFER
TXN0005270,954-545-2758,01/13/2025,"$44,647.17",Check Deposit,CHECK DEPOSIT
TXN0000337,762-001-3823,06-May-2025,"($4,747.42)",Debit Card,POS PURCHASE
txn0003898,214-082-4160,02-Jun-2025,"($4,298.15)",Internal Transfer,Account Transfer
 TXN0004367, 106-543-6107 ,04/07/2025,"$35,632.91",Check Deposit,Check Deposit
 TXN0003676,599-733-7117,06/27/2025,"$32,779.77",Check Deposit,Check Deposit
TXN0003512,289-457-7142,04/11/2025,"$7,002.37",Check Deposit,CHECK DEPOSIT
TXN0005674,146-112-0602,10-Jun-2025,"($21,685.21)",ACH Debit,VENDOR PAYMENT
TXN0000850,472-037-5593,16-Mar-2025,"$7,795.74",ACH Credit,Payroll Deposit
 TXN0004289,503-632-0986,09-Mar-2025,"($4,270.67)",ATM Withdrawal,ATM Cash Withdrawal
TXN0000561, 659-901-2983 ,10-Mar-2025,"($42,246.24)",ACH Debit,VENDOR PAYMENT
TXN0000415,522-694-2005,04/30/2025,"($28,129.16)",ACH Debit,Vendor Payment
txn0000484, 979-387-7424 ,04/26/2025,"$25,249.60",ACH Credit,PAYROLL DEPOSIT
TXN0000292,262-121-1490,05/17/2025,"($33,661.31)",Debit Card,POS Purchase
TXN0001071,971-646-9505,02/16/2025,"$3,602.75",Check Deposit,CHECK DEPOSIT
TXN0004385,751-312-7967,29-Mar-2025,"$6,348.22",Internal Transfer,ACCOUNT TRANSFER
TXN0002885,718-831-7186,04/19/2025,"($12,547.41)",Wire Transfer,OUTGOING WIRE
TXN0001667,486-840-3433,13-May-2025,"$37,061.77",Check Deposit,CHECK DEPOSIT
TXN0003760,531-681-3632,24-Feb-2025,"($24,143.54)",Debit Card,POS Purchase
TXN0003684,891-878-1048,02/24/2025,"$7,323.81",Check Deposit,CHECK DEPOSIT
 TXN0002317,909-358-3309,05/05/2025,"$22,731.90",ACH Credit,PAYROLL DEPOSIT
TXN0000434,224-662-8985,05/06/2025,"$20,564.28",Internal Transfer,Account Transfer
TXN0001895,314-455-0436,14-Feb-2025,"($15,146.86)",ACH Debit,VENDOR PAYMENT
fee00088,709-807-8848,11-Feb-2025,($47.63),Service Charge,Monthly Maintenance Fee
TXN0002379,870-592-3151,01/11/2025,"($42,233.02)",Wire Transfer,Outgoing Wire
TXN0004414,833-150-8430,03/07/2025,"($29,295.39)",ATM Withdrawal,ATM Cash Withdrawal
TXN0003997,679-747-3046,06/17/2025,"$25,123.48",Check Deposit,Check Deposit
TXN0001598,992-103-6738,25-Jun-2025,"$6,279.96",Internal Transfer,ACCOUNT TRANSFER
TXN0004392,822-982-9887,13-May-2025,"$22,026.87",ACH Credit,Payroll Deposit
TXN0002862,117-787-9552,01/07/2025,"($8,841.24)",ATM Withdrawal,ATM Cash Withdrawal
TXN0005075,620-094-7562,13-Jan-2025,"($22,143.13)",Debit Card,POS Purchase
TXN0000496,426-612-9965,10-Jun-2025,"($16,436.24)",Internal Transfer,Account Transfer
TXN0002373, 223-173-5539 ,06/18/2025,"($25,006.44)",Wire Transfer,Incoming Wire
txn0001588, 260-951-9884 ,06/16/2025,"($11,620.02)",ACH Debit,Vendor Payment
TXN0000836,282-217-8227,11-May-2025,"($2,339.19)",ACH Debit,VENDOR PAYMENT
 TXN0002252,271-219-9985,22-Jan-2025,"($25,003.72)",Debit Card,POS Purchase
TXN0002065,301-375-9416,17-Apr-2025,"$24,979.11",Internal Transfer,Account Transfer
TXN0002842,301-993-9508,03/05/2025,"($3,145.14)",ACH Debit,Vendor Payment
TXN0003364,884-027-9143,04/18/2025,"($37,516.48)",ACH Debit,VENDOR PAYMENT
TXN0002889, 571-852-3535 ,31-Mar-2025,"$33,469.80",ACH Credit,PAYROLL DEPOSIT
TXN0003198,945-933-7576,27-Apr-2025,"$31,570.40",Check Deposit,Check Deposit
TXN0002460,360-130-8292,06/01/2025,"($33,144.96)",Wire Transfer,Incoming Wire
TXN0000450,935-061-6678,18-Jan-2025,"$39,128.38",Internal Transfer,Account Transfer
TXN0003722,390-847-0872,13-May-2025,"($25,856.71)",Debit Card,POS Purchase
TXN0001867,237-225-2111,03-Jun-2025,"$31,589.56",Check Deposit,Check Deposit
TXN0005697,127-189-2793,02/06/2025,"($39,947.89)",ACH Debit,VENDOR PAYMENT
TXN0002687,958-151-3318,03/16/2025,"($31,019.27)",Wire Transfer,Outgoing Wire
TXN0003659,676-077-4460,28-Apr-2025,"($21,594.33)",Internal Transfer,Account Transfer
txn0005991,285-761-7460,29-Jun-2025,"($8,050.03)",Wire Transfer,INCOMING WIRE
TXN0004218,944-561-7989,02/25/2025,"($11,048.74)",Debit Card,POS Purchase
TXN0001262,496-370-0248,14-Mar-2025,"($19,404.15)",Wire Transfer,OUTGOING WIRE
TXN0002856,986-984-8062,05/28/2025,"$40,762.39",Check Deposit,Check Deposit
txn0002900,600-047-1823,02/09/2025,"($18,449.20)",Debit Card,POS Purchase
TXN0000807,337-781-3283,20-Apr-2025,"$26,914.11",Debit Card,POS Purchase
 TXN0001749,182-841-6882,01/24/2025,($243.76),Wire Transfer,INCOMING WIRE
TXN0003904,367-804-5890,23-Feb-2025,"$38,478.36",ACH Credit,Payroll Deposit
 TXN0001962,332-666-3971,06-May-2025,"$32,836.67",ACH Credit,Payroll Deposit
TXN0001537,945-103-5211,06/27/2025,"$30,157.67",Check Deposit,Check Deposit
 TXN0003305,507-002-1557,01/23/2025,"$4,301.07",ACH Credit,Payroll Deposit
TXN0003556,644-408-2894,26-May-2025,"$23,925.43",Internal Transfer,ACCOUNT TRANSFER
TXN0002072,226-179-2617,19-May-2025,"$17,412.30",Check Deposit,Check Deposit
txn0001125,810-400-7023,03/11/2025,"($14,632.76)",Debit Card,POS Purchase
TXN0003615,965-672-2235,01-Mar-2025,"($3,151.58)",Wire Transfer,Outgoing Wire
txn0000607,553-394-4366,12-Jan-2025,"($13,375.16)",Wire Transfer,Incoming Wire
TXN0003444,428-221-9249,02/22/2025,"($1,425.25)",Wire Transfer,INCOMING WIRE
TXN0002319, 299-814-8614 ,17-Apr-2025,"($1,754.59)",Debit Card,POS Purchase
TXN0002579,140-894-3672,04/13/2025,"($31,218.44)",ATM Withdrawal,ATM Cash Withdrawal
FEE00104,336-630-3066,04/26/2025,($46.00),Service Charge,Overdraft Fee
TXN0004685,731-410-0692,02/08/2025,"($1,780.49)",ATM Withdrawal,ATM Cash Withdrawal
TXN0005577,611-931-3927,02/13/2025,"($17,021.88)",ATM Withdrawal,ATM CASH WITHDRAWAL
txn0003608,204-426-2789,05/23/2025,"$8,889.53",Check Deposit,Check Deposit
TXN0003220,816-208-6467,19-Feb-2025,"$23,142.73",Check Deposit,CHECK DEPOSIT
TXN0000960,917-562-2880,04/25/2025,"($7,390.27)",Wire Transfer,Incoming Wire
TXN0005807,844-271-4855,03/01/2025,"($32,073.00)",ACH Debit,VENDOR PAYMENT
TXN0004623,299-389-3600,18-Feb-2025,"($1,075.28)",Debit Card,POS Purchase
TXN0005956,684-720-9605,06/16/2025,"($10,420.77)",Wire Transfer,OUTGOING WIRE
TXN0000939,699-068-8595,03/02/2025,"($29,992.21)",ACH Debit,VENDOR PAYMENT
TXN0005946,516-028-2087,03/02/2025,"$15,213.75",Check Deposit,CHECK DEPOSIT
TXN0000863,362-572-2974,06/24/2025,"($10,567.70)",ACH Debit,Vendor Payment
TXN0001204,766-727-7949,22-Apr-2025,"$29,177.57",ACH Credit,PAYROLL DEPOSIT
TXN0002897,104-384-8729,25-Jan-2025,"($39,693.99)",ATM Withdrawal,ATM Cash Withdrawal
TXN0001229,209-616-2958,03/17/2025,"($14,721.87)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0004062,463-470-7197,03/19/2025,"($8,886.15)",Wire Transfer,OUTGOING WIRE
TXN0001151,426-130-0555,04/26/2025,"($15,343.67)",Wire Transfer,Outgoing Wire
TXN0000075,327-586-9324,20-Mar-2025,"$8,514.48",Check Deposit,Check Deposit
TXN0002971,322-421-1687,22-Apr-2025,"$40,308.30",Internal Transfer,Account Transfer
TXN0005479,567-471-1289,12-Jan-2025,"($36,207.95)",ACH Debit,Vendor Payment
TXN0003398,394-508-9619,29-Jun-2025,"($38,795.44)",ACH Debit,VENDOR PAYMENT
TXN0003727,687-440-5711,06/03/2025,"($41,642.08)",ACH Debit,VENDOR PAYMENT
TXN0004239,172-231-3254,03/14/2025,"($31,750.81)",ATM Withdrawal,ATM Cash Withdrawal
TXN0003223,820-529-1126,05/28/2025,"$35,914.03",Check Deposit,CHECK DEPOSIT
TXN0003948,331-025-0634,04/14/2025,"$29,273.41",Check Deposit,CHECK DEPOSIT
TXN0000712,540-566-5463,08-Mar-2025,"($26,148.09)",Internal Transfer,ACCOUNT TRANSFER
TXN0005656,841-091-0396,06/12/2025,"($27,650.07)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0003017,714-305-5804,17-Mar-2025,"($44,353.07)",Debit Card,POS Purchase
 TXN0000585,153-712-2842,04/19/2025,"$33,111.32",ATM Withdrawal,ATM Cash Withdrawal
TXN0001342,440-746-9042,01/16/2025,"($20,951.62)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0004036,789-639-9985,04/09/2025,"($16,297.90)",ATM Withdrawal,ATM Cash Withdrawal
TXN0002038,912-275-3519,05-Mar-2025,"($31,800.42)",Wire Transfer,OUTGOING WIRE
 TXN0005310,692-573-2660,04/24/2025,"$40,807.09",Wire Transfer,Outgoing Wire
TXN0003451,924-804-3058,01/09/2025,"$21,211.86",Check Deposit,CHECK DEPOSIT
txn0000490,578-427-2870,25-Apr-2025,"($44,045.98)",Wire Transfer,OUTGOING WIRE
TXN0004620,802-787-0275,18-Mar-2025,"($21,747.55)",Wire Transfer,Outgoing Wire
TXN0005881,501-974-6268,03/14/2025,"($1,081.41)",Debit Card,POS Purchase
TXN0001687,371-038-7120,06/17/2025,"($3,644.28)",Debit Card,POS PURCHASE
 TXN0004835,817-230-2379,02/13/2025,"$27,063.53",Check Deposit,Check Deposit
TXN0001354,502-642-5333,05/13/2025,"($14,200.54)",Internal Transfer,Account Transfer
 TXN0002325, 709-277-7852 ,06/05/2025,"($27,490.15)",ATM Withdrawal,ATM Cash Withdrawal
TXN0003154,679-594-9712,23-Apr-2025,"$15,446.93",Check Deposit,Check Deposit
TXN0000660,829-963-3890,02/11/2025,"$32,365.72",Check Deposit,CHECK DEPOSIT
 TXN0001964,477-213-0097,06/01/2025,"$37,193.59",ACH Credit,Payroll Deposit
TXN0002407,159-154-8130,03/31/2025,"$36,817.17",Check Deposit,CHECK DEPOSIT
TXN0000869,612-553-5591,13-Apr-2025,"($8,301.31)",ATM Withdrawal,ATM Cash Withdrawal
txn0002635,596-986-3000,01/17/2025,"($19,344.16)",Wire Transfer,OUTGOING WIRE
TXN0002619,139-893-2538,17-Jun-2025,"$42,513.52",Check Deposit,Check Deposit
TXN0003361,600-198-2133,06-Feb-2025,"($27,172.22)",Wire Transfer,Outgoing Wire
TXN0000366,342-569-4474,25-Jun-2025,"$18,613.43",ACH Credit,Payroll Deposit
txn0004241,787-841-0459,06/20/2025,"($28,424.39)",ATM Withdrawal,ATM Cash Withdrawal
TXN0000639,431-184-4843,06/12/2025,"($29,322.90)",Wire Transfer,Outgoing Wire
TXN0004770,331-922-2292,01/06/2025,"($1,225.24)",Wire Transfer,Outgoing Wire
txn0002427,221-881-9507,02/15/2025,"($12,765.94)",Wire Transfer,OUTGOING WIRE
TXN0004038,164-810-5189,14-May-2025,"($18,425.31)",ACH Debit,Vendor Payment
TXN0002564,468-254-4466,06/17/2025,"$16,356.28",Internal Transfer,ACCOUNT TRANSFER
TXN0000257,945-971-5756,04/16/2025,"($44,075.07)",ATM Withdrawal,ATM Cash Withdrawal
TXN0002238, 566-344-1812 ,03/31/2025,"$10,453.67",ACH Credit,PAYROLL DEPOSIT
txn0001357,395-074-8667,11-Feb-2025,"($8,652.72)",Debit Card,POS Purchase
TXN0001957,344-652-7345,06-Feb-2025,"($43,970.99)",ACH Debit,Vendor Payment
 TXN0001658,452-920-9912,02/08/2025,"($33,601.66)",ACH Debit,Vendor Payment
TXN0002209,921-535-7790,22-Jan-2025,"($2,268.21)",ATM Withdrawal,ATM Cash Withdrawal
TXN0004780,164-472-2273,01/09/2025,"$5,253.79",Check Deposit,Check Deposit
FEE00113, 347-586-8627 ,06/30/2025,$42.80,Interest Payment,Interest Credit
TXN0003793,271-986-5399,05/18/2025,"($36,272.18)",ACH Debit,VENDOR PAYMENT
TXN0002351,640-600-4184,04/14/2025,"($29,164.79)",Debit Card,POS Purchase
TXN0001780,187-140-4519,06/23/2025,"($35,283.74)",Internal Transfer,ACCOUNT TRANSFER
TXN0001251,759-175-0877,04/29/2025,"$41,159.02",Check Deposit,Check Deposit
TXN0005483,393-243-7105,04/09/2025,"($42,853.24)",ACH Debit,Vendor Payment
TXN0004433,751-242-8359,16-Jan-2025,"($12,946.36)",Debit Card,POS Purchase
TXN0002925,609-650-2919,05/14/2025,"$10,913.53",ACH Credit,PAYROLL DEPOSIT
TXN0002919,446-911-6696,22-Mar-2025,"($12,833.05)",Internal Transfer,Account Transfer
TXN0002753,513-243-3739,13-Jun-2025,"$37,905.57",Internal Transfer,Account Transfer
TXN0005692, 654-669-2136 ,03-Feb-2025,"($17,064.63)",Debit Card,POS Purchase
TXN0001684,429-391-9409,08-Jun-2025,"($30,680.10)",ATM Withdrawal,ATM Cash Withdrawal
TXN0002257,652-368-9201,10-Jun-2025,"($15,388.79)",Wire Transfer,Outgoing Wire
txn0004893,690-320-8751,06/19/2025,"($43,524.22)",ACH Debit,VENDOR PAYMENT
TXN0000477,627-216-4654,06/24/2025,($834.07),Debit Card,POS PURCHASE
TXN0001037,240-601-4957,14-Apr-2025,"($32,485.29)",Wire Transfer,Incoming Wire
TXN0005364,124-839-5930,06/06/2025,"($26,587.24)",ATM Withdrawal,ATM Cash Withdrawal
TXN0003792,895-384-3360,30-May-2025,"($26,643.48)",Wire Transfer,INCOMING WIRE
txn0001991,191-231-2353,05/25/2025,"($2,162.92)",ACH Debit,Vendor Payment
TXN0000021,703-524-1032,03/02/2025,"($37,339.34)",Wire Transfer,Incoming Wire
TXN0005143,979-187-8926,05/08/2025,"($42,264.55)",Wire Transfer,Outgoing Wire
 TXN0001260,841-406-8600,01/31/2025,"($36,759.59)",ACH Debit,Vendor Payment
TXN0004695,649-277-4444,19-May-2025,"($34,559.81)",Wire Transfer,Incoming Wire
TXN0002904,830-133-1812,25-Jun-2025,"($7,577.17)",Wire Transfer,Incoming Wire
TXN0001719,464-902-8280,24-Jan-2025,"($29,863.87)",Wire Transfer,Outgoing Wire
TXN0005708,416-528-0287,18-Feb-2025,"($42,725.18)",ATM Withdrawal,ATM Cash Withdrawal
TXN0003381,775-245-6986,04/29/2025,"$17,571.10",Internal Transfer,ACCOUNT TRANSFER
TXN0002256, 599-722-2105 ,03/13/2025,"($9,336.51)",ACH Debit,VENDOR PAYMENT
 TXN0004281,843-891-9610,03/09/2025,"($23,602.25)",ACH Debit,Vendor Payment
TXN0000753, 908-930-4785 ,10-Jan-2025,"($39,909.63)",ACH Debit,Vendor Payment
TXN0005995,328-318-2364,01/31/2025,"$32,111.44",Check Deposit,Check Deposit
TXN0004752,857-331-9933,06/03/2025,"($4,591.93)",Internal Transfer,Account Transfer
TXN0001056,778-171-4683,12-Jun-2025,"$29,620.03",ACH Credit,PAYROLL DEPOSIT
TXN0005749,795-732-9925,03/08/2025,"($30,683.23)",Internal Transfer,Account Transfer
TXN0004751,450-098-0561,06/29/2025,"($30,402.23)",ACH Debit,Vendor Payment
TXN0003740,233-969-1845,04/06/2025,"($1,722.95)",ATM Withdrawal,ATM Cash Withdrawal
txn0003217,315-237-2105,05/20/2025,"($24,329.64)",Wire Transfer,INCOMING WIRE
txn0003583,699-116-1171,18-Feb-2025,"$44,431.63",ACH Credit,PAYROLL DEPOSIT
txn0003226,158-919-4705,05/01/2025,"($12,813.61)",Wire Transfer,Outgoing Wire
TXN0002573,565-136-5254,05/27/2025,"($29,198.55)",ATM Withdrawal,ATM Cash Withdrawal
TXN0002695,736-936-8469,28-Feb-2025,"($16,551.59)",Debit Card,POS Purchase
TXN0002568,691-431-4991,04/30/2025,"($38,618.33)",Wire Transfer,OUTGOING WIRE
 TXN0004859,259-777-3594,01/21/2025,"($28,735.29)",Internal Transfer,Account Transfer
TXN0004361,294-527-4692,29-Jan-2025,"$40,709.96",Check Deposit,Check Deposit
TXN0001873,296-526-5251,04/11/2025,"$1,872.82",Check Deposit,Check Deposit
TXN0000408,585-299-9316,26-May-2025,"($20,061.13)",Debit Card,POS PURCHASE
txn0005490,401-108-3696,20-Mar-2025,"$7,515.59",Check Deposit,Check Deposit
TXN0003549,720-942-6895,26-Jan-2025,"$21,856.06",ACH Credit,PAYROLL DEPOSIT
 TXN0005669,947-300-2488,04/30/2025,"($25,098.94)",Internal Transfer,Account Transfer
 TXN0000931,186-384-4914,06-Jan-2025,"($30,233.35)",ACH Debit,Vendor Payment
TXN0001741,275-062-1148,04-Mar-2025,"($27,454.89)",Debit Card,POS Purchase
TXN0001893,999-736-3328,03/26/2025,"($32,384.76)",Internal Transfer,Account Transfer
txn0002059,670-420-4095,15-Mar-2025,"($41,747.34)",ATM Withdrawal,ATM Cash Withdrawal
 txn0002002,897-792-7109,11-Feb-2025,"$19,589.62",Internal Transfer,ACCOUNT TRANSFER
TXN0002625,571-167-7081,10-Mar-2025,"$30,558.66",Check Deposit,CHECK DEPOSIT
TXN0003349,146-527-0500,03/07/2025,"($39,813.42)",Wire Transfer,Outgoing Wire
TXN0004947,367-437-0502,12-Jun-2025,"$3,452.67",Check Deposit,CHECK DEPOSIT
TXN0004097,616-666-8291,03/14/2025,"($11,789.44)",Wire Transfer,Incoming Wire
TXN0001707,472-956-6098,03/17/2025,"$39,381.77",Check Deposit,Check Deposit
TXN0002951,649-861-1637,05/23/2025,"($9,471.16)",Debit Card,POS Purchase
TXN0000224,539-037-4998,01/11/2025,"$1,457.69",Check Deposit,Check Deposit
TXN0000158,553-569-2734,03/31/2025,"($23,240.68)",Wire Transfer,Outgoing Wire
TXN0003831,911-565-1798,24-Jun-2025,"$22,652.36",Internal Transfer,Account Transfer
TXN0001677,414-511-2261,02-Mar-2025,"($1,057.34)",Wire Transfer,OUTGOING WIRE
TXN0001403,316-220-5033,06/23/2025,"($13,888.09)",ATM Withdrawal,ATM CASH WITHDRAWAL
TXN0002270,447-640-8717,16-Mar-2025,"($31,388.35)",ACH Debit,VENDOR PAYMENT
TXN0001118,504-725-5669,06-Mar-2025,"($36,916.48)",Debit Card,POS PURCHASE
TXN0004181,953-901-4598,13-Apr-2025,"$37,567.69",Check Deposit,CHECK DEPOSIT
TXN0001517, 128-680-3819 ,02/19/2025,"$26,466.59",Check Deposit,Check Deposit
TXN0000689,386-362-2696,22-Jan-2025,"$7,981.14",ACH Credit,PAYROLL DEPOSIT
TXN0002011,679-934-4306,25-May-2025,"$28,122.80",Check Deposit,CHECK DEPOSIT
TXN0001860,121-436-7887,28-May-2025,"$35,021.96",Check Deposit,Check Deposit
TXN0005849,441-175-4150,04/21/2025,"($20,252.20)",Debit Card,POS Purchase
 txn0001444,136-644-2526,24-May-2025,"($8,053.62)",Wire Transfer,Incoming Wire
TXN0000855,774-791-4756,16-Mar-2025,"($8,577.32)",ACH Debit,Vendor Payment
